metric_id,n_runs,first_step,last_step,last_step_n,last_mean,last_95ci_half_width,seeds
survival,4,0,28,4,78.2,17.483610891336678,"739,83,291,184"
production,4,0,28,4,24241.855958787182,14721.788749115034,"739,83,291,184"
consumption,4,0,28,4,25747.73450310958,6571.806093267363,"739,83,291,184"
bank,4,0,28,4,596.8126019266634,126.86046085766647,"739,83,291,184"
