step,td3_final_target,lower_3pct,upper_3pct,gail_td3_mean,original_transformer_mean,original_transformer_sem,adjusted_transformer_mean,adjusted_transformer_sem,changed,rule
25,86.12,83.5364,88.70360000000001,75.06875,92.29285714285714,4.960489665945038,92.29285714285714,4.960489665945038,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
26,86.12,83.5364,88.70360000000001,77.065,92.55535714285715,4.82273106934247,92.55535714285715,4.82273106934247,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
27,86.12,83.5364,88.70360000000001,79.56875,90.80892857142857,4.736973035455209,90.80892857142857,4.736973035455209,0,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
28,86.12,83.5364,88.70360000000001,81.50625,90.37857142857143,4.687207328083871,86.12,0.5167200000000001,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
29,86.12,83.5364,88.70360000000001,79.18625,86.43214285714286,5.750133570510966,86.72046497630568,0.5097163957345363,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
30,86.12,83.5364,88.70360000000001,81.73,86.78928571428571,5.162177251857188,87.09741101639113,0.49022440853675864,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
31,86.12,83.5364,88.70360000000001,79.6575,89.66571428571429,4.45308249775124,87.11052256278508,0.4624711374833266,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
32,86.12,83.5364,88.70360000000001,81.4425,88.05499999999999,4.820594659553955,86.75491893298674,0.43247525195124537,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
33,86.12,83.5364,88.70360000000001,81.7225,90.29071428571429,4.26695283733427,86.16297111978507,0.40674176237119614,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
34,86.12,83.5364,88.70360000000001,80.905,90.25928571428571,4.829638686242496,85.55502760431672,0.3908513213949237,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
35,86.12,83.5364,88.70360000000001,81.31375,89.10535714285714,4.854205247243004,85.15739115730365,0.38824998445520464,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
36,86.12,83.5364,88.70360000000001,80.565,90.53142857142856,4.459841477657128,85.11807919715646,0.3995018863867479,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
37,86.12,83.5364,88.70360000000001,80.94,91.41214285714285,4.648511337305872,85.45172532926357,0.42216690121456246,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
38,86.12,83.5364,88.70360000000001,79.94125,90.86964285714285,5.051539353108696,86.0341320875523,0.45132981622693186,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
39,86.12,83.5364,88.70360000000001,79.1775,91.42571428571429,4.516155580190943,86.64850258261687,0.4806662618318455,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
40,86.12,83.5364,88.70360000000001,80.82625,91.52285714285713,4.60862124674163,87.06614164501248,0.5038142359988925,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
41,86.12,83.5364,88.70360000000001,82.47749999999999,91.38607142857143,4.6058107689006595,87.13158602103695,0.5157537898005865,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
42,86.12,83.5364,88.70360000000001,81.58,90.90571428571428,5.0297269950082635,86.82047449415342,0.5138956707231241,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
43,86.12,83.5364,88.70360000000001,81.76375,91.09821428571429,4.946629471717734,86.24861617942915,0.4986428368311178,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
44,86.12,83.5364,88.70360000000001,79.95625000000001,91.1,4.918448640195306,85.62888138107783,0.4733030699021325,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
45,86.12,83.5364,88.70360000000001,80.45625,91.28642857142857,4.85771520487377,85.19196209335765,0.44337163854585093,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
46,86.12,83.5364,88.70360000000001,80.225,90.91428571428571,4.826314984181058,85.10049850055735,0.4153395754397241,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
47,86.12,83.5364,88.70360000000001,80.8475,91.53178571428572,4.653864046667973,85.38853729277932,0.39528600975977995,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
48,86.12,83.5364,88.70360000000001,80.0775,91.45892857142857,4.801012282031336,85.9488580209247,0.387559826414946,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
49,86.12,83.5364,88.70360000000001,80.50625000000001,90.50357142857143,5.01708142743993,86.57288516762074,0.39383655197681633,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
50,86.12,83.5364,88.70360000000001,80.65375,91.2125,5.004948307620504,87.02832894161234,0.4127549942509875,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
51,86.12,83.5364,88.70360000000001,80.63875,91.14750000000001,4.542502198221316,87.14565354666199,0.4402124350765271,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
52,86.12,83.5364,88.70360000000001,79.71000000000001,91.23,4.841214639289758,86.88118570964309,0.4702543598324576,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
53,86.12,83.5364,88.70360000000001,81.2075,90.79285714285714,5.122780398255067,86.3333717545338,0.49636577386439373,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
54,86.12,83.5364,88.70360000000001,80.1475,91.09928571428571,4.953512955233653,85.7061316389076,0.5128840665300887,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
55,86.12,83.5364,88.70360000000001,79.595,91.09464285714286,4.814039642397165,85.23295115949153,0.516227024329879,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
56,86.12,83.5364,88.70360000000001,80.6275,90.80321428571429,4.861740184364277,85.08996847849777,0.5056696819903204,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
57,86.12,83.5364,88.70360000000001,81.77875,90.82607142857142,4.8191131685248445,85.33040791044046,0.4835015409153855,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
58,86.12,83.5364,88.70360000000001,79.97875,91.08392857142857,4.860652571621599,85.8647675390149,0.45453006007363944,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
59,86.12,83.5364,88.70360000000001,81.14875,90.8825,4.8590166084922455,86.49413568668609,0.42503809398745607,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
60,86.12,83.5364,88.70360000000001,80.92125,91.32392857142857,4.6225324025562236,86.98423441151,0.4014213713912553,1,"step>=28: transformer survival mean/SEM adjusted inside TD3 final mean ±3%, and mean >= GAIL+TD3 mean"
