metric_id,n_runs,first_step,last_step,last_step_n,last_mean,last_95ci_half_width,seeds
survival,8,1,60,8,87.01927083333334,12.013850862932944,"184,291,83,739,894,652,187,191"
production,8,1,60,8,127631.867475,63164.77265036171,"184,291,83,739,894,652,187,191"
consumption,8,1,60,8,151128.09893750004,48678.53544849062,"184,291,83,739,894,652,187,191"
bank,8,1,60,8,10125.068087500002,5138.1582384260055,"184,291,83,739,894,652,187,191"
