method,label,seed,episodes,valid_firm_days,mean,median,q1,q3,iqr,lower_fence,upper_fence,lower_whisker,upper_whisker,retained_count,outlier_count,below_one_count,below_one_share_pct
TD3,TD3,739,100,9400,24.276394686442227,2.8686357576608916,2.010674507557248,49.784908639747336,47.77423413219009,-69.65067669072788,121.44625983803246,0.7096362133926202,92.34367971210077,9200,200,300,3.1914893617021276
GAIL+TD3,GAIL+TD3,739,100,4400,7.005569080833532,6.558924480336547,6.258488361155115,7.1171782000857,0.8586898389305846,4.970453602759239,8.405212958481577,5.025755907298906,7.92579272000695,3400,1000,0,0.0
Transformer+GAIL+TD3,Transformer+GAIL+TD3,291,100,9400,12.594271453834601,6.5262749031190275,4.646268361081285,10.951364851858896,6.305096490777611,-4.811376375085132,20.409009588025313,2.1278028965390545,19.63158271407612,8000,1400,0,0.0
