algorithm,seed,episode,day,dscr,dscr_below_1,iqr_retained
GAIL+TD3,739,0,9,7.1125688443111095,0,1
GAIL+TD3,739,0,12,5.186373476685072,0,1
GAIL+TD3,739,0,16,5.8769686268214825,0,1
GAIL+TD3,739,0,18,7.13100626740947,0,1
GAIL+TD3,739,0,19,6.7871291499882265,0,1
GAIL+TD3,739,0,21,7.5073620862587775,0,1
GAIL+TD3,739,0,22,6.3273116552923865,0,1
GAIL+TD3,739,0,23,5.591213955841315,0,1
GAIL+TD3,739,0,24,6.800514800514798,0,1
GAIL+TD3,739,0,25,6.927503792683231,0,1
GAIL+TD3,739,0,26,7.92579272000695,0,1
GAIL+TD3,739,0,27,7.044731311918344,0,1
GAIL+TD3,739,0,28,6.57948131784828,0,1
GAIL+TD3,739,0,29,6.054305308104988,0,1
GAIL+TD3,739,0,30,6.573270600329152,0,1
GAIL+TD3,739,0,31,6.912689052637537,0,1
GAIL+TD3,739,0,32,7.330286698140423,0,1
GAIL+TD3,739,0,33,6.47675142708874,0,1
GAIL+TD3,739,0,34,6.710378075024263,0,1
GAIL+TD3,739,0,35,6.243236842420827,0,1
GAIL+TD3,739,0,36,6.368910739599038,0,1
GAIL+TD3,739,0,37,6.753967752828423,0,1
GAIL+TD3,739,0,38,6.706029230026612,0,1
GAIL+TD3,739,0,39,6.544564150596713,0,1
GAIL+TD3,739,0,40,6.263583442433268,0,1
GAIL+TD3,739,0,41,6.427505451381855,0,1
GAIL+TD3,739,0,42,6.36564822688674,0,1
GAIL+TD3,739,0,43,6.5330441096209215,0,1
GAIL+TD3,739,0,44,6.466531852469626,0,1
GAIL+TD3,739,0,45,6.438467763174953,0,1
GAIL+TD3,739,0,46,6.178361929811118,0,1
GAIL+TD3,739,0,47,5.5270144839437485,0,1
GAIL+TD3,739,0,48,5.228443487920023,0,1
GAIL+TD3,739,0,49,6.411313226691341,0,1
GAIL+TD3,739,1,9,7.1125688443111095,0,1
GAIL+TD3,739,1,12,5.186373476685072,0,1
GAIL+TD3,739,1,16,5.8769686268214825,0,1
GAIL+TD3,739,1,18,7.13100626740947,0,1
GAIL+TD3,739,1,19,6.7871291499882265,0,1
GAIL+TD3,739,1,21,7.5073620862587775,0,1
GAIL+TD3,739,1,22,6.3273116552923865,0,1
GAIL+TD3,739,1,23,5.591213955841315,0,1
GAIL+TD3,739,1,24,6.800514800514798,0,1
GAIL+TD3,739,1,25,6.927503792683231,0,1
GAIL+TD3,739,1,26,7.92579272000695,0,1
GAIL+TD3,739,1,27,7.044731311918344,0,1
GAIL+TD3,739,1,28,6.57948131784828,0,1
GAIL+TD3,739,1,29,6.054305308104988,0,1
GAIL+TD3,739,1,30,6.573270600329152,0,1
GAIL+TD3,739,1,31,6.912689052637537,0,1
GAIL+TD3,739,1,32,7.330286698140423,0,1
GAIL+TD3,739,1,33,6.47675142708874,0,1
GAIL+TD3,739,1,34,6.710378075024263,0,1
GAIL+TD3,739,1,35,6.243236842420827,0,1
GAIL+TD3,739,1,36,6.368910739599038,0,1
GAIL+TD3,739,1,37,6.753967752828423,0,1
GAIL+TD3,739,1,38,6.706029230026612,0,1
GAIL+TD3,739,1,39,6.544564150596713,0,1
GAIL+TD3,739,1,40,6.263583442433268,0,1
GAIL+TD3,739,1,41,6.427505451381855,0,1
GAIL+TD3,739,1,42,6.36564822688674,0,1
GAIL+TD3,739,1,43,6.5330441096209215,0,1
GAIL+TD3,739,1,44,6.466531852469626,0,1
GAIL+TD3,739,1,45,6.438467763174953,0,1
GAIL+TD3,739,1,46,6.178361929811118,0,1
GAIL+TD3,739,1,47,5.5270144839437485,0,1
GAIL+TD3,739,1,48,5.228443487920023,0,1
GAIL+TD3,739,1,49,6.411313226691341,0,1
GAIL+TD3,739,2,9,7.1125688443111095,0,1
GAIL+TD3,739,2,12,5.186373476685072,0,1
GAIL+TD3,739,2,16,5.8769686268214825,0,1
GAIL+TD3,739,2,18,7.13100626740947,0,1
GAIL+TD3,739,2,19,6.7871291499882265,0,1
GAIL+TD3,739,2,21,7.5073620862587775,0,1
GAIL+TD3,739,2,22,6.3273116552923865,0,1
GAIL+TD3,739,2,23,5.591213955841315,0,1
GAIL+TD3,739,2,24,6.800514800514798,0,1
GAIL+TD3,739,2,25,6.927503792683231,0,1
GAIL+TD3,739,2,26,7.92579272000695,0,1
GAIL+TD3,739,2,27,7.044731311918344,0,1
GAIL+TD3,739,2,28,6.57948131784828,0,1
GAIL+TD3,739,2,29,6.054305308104988,0,1
GAIL+TD3,739,2,30,6.573270600329152,0,1
GAIL+TD3,739,2,31,6.912689052637537,0,1
GAIL+TD3,739,2,32,7.330286698140423,0,1
GAIL+TD3,739,2,33,6.47675142708874,0,1
GAIL+TD3,739,2,34,6.710378075024263,0,1
GAIL+TD3,739,2,35,6.243236842420827,0,1
GAIL+TD3,739,2,36,6.368910739599038,0,1
GAIL+TD3,739,2,37,6.753967752828423,0,1
GAIL+TD3,739,2,38,6.706029230026612,0,1
GAIL+TD3,739,2,39,6.544564150596713,0,1
GAIL+TD3,739,2,40,6.263583442433268,0,1
GAIL+TD3,739,2,41,6.427505451381855,0,1
GAIL+TD3,739,2,42,6.36564822688674,0,1
GAIL+TD3,739,2,43,6.5330441096209215,0,1
GAIL+TD3,739,2,44,6.466531852469626,0,1
GAIL+TD3,739,2,45,6.438467763174953,0,1
GAIL+TD3,739,2,46,6.178361929811118,0,1
GAIL+TD3,739,2,47,5.5270144839437485,0,1
GAIL+TD3,739,2,48,5.228443487920023,0,1
GAIL+TD3,739,2,49,6.411313226691341,0,1
GAIL+TD3,739,3,9,7.1125688443111095,0,1
GAIL+TD3,739,3,12,5.186373476685072,0,1
GAIL+TD3,739,3,16,5.8769686268214825,0,1
GAIL+TD3,739,3,18,7.13100626740947,0,1
GAIL+TD3,739,3,19,6.7871291499882265,0,1
GAIL+TD3,739,3,21,7.5073620862587775,0,1
GAIL+TD3,739,3,22,6.3273116552923865,0,1
GAIL+TD3,739,3,23,5.591213955841315,0,1
GAIL+TD3,739,3,24,6.800514800514798,0,1
GAIL+TD3,739,3,25,6.927503792683231,0,1
GAIL+TD3,739,3,26,7.92579272000695,0,1
GAIL+TD3,739,3,27,7.044731311918344,0,1
GAIL+TD3,739,3,28,6.57948131784828,0,1
GAIL+TD3,739,3,29,6.054305308104988,0,1
GAIL+TD3,739,3,30,6.573270600329152,0,1
GAIL+TD3,739,3,31,6.912689052637537,0,1
GAIL+TD3,739,3,32,7.330286698140423,0,1
GAIL+TD3,739,3,33,6.47675142708874,0,1
GAIL+TD3,739,3,34,6.710378075024263,0,1
GAIL+TD3,739,3,35,6.243236842420827,0,1
GAIL+TD3,739,3,36,6.368910739599038,0,1
GAIL+TD3,739,3,37,6.753967752828423,0,1
GAIL+TD3,739,3,38,6.706029230026612,0,1
GAIL+TD3,739,3,39,6.544564150596713,0,1
GAIL+TD3,739,3,40,6.263583442433268,0,1
GAIL+TD3,739,3,41,6.427505451381855,0,1
GAIL+TD3,739,3,42,6.36564822688674,0,1
GAIL+TD3,739,3,43,6.5330441096209215,0,1
GAIL+TD3,739,3,44,6.466531852469626,0,1
GAIL+TD3,739,3,45,6.438467763174953,0,1
GAIL+TD3,739,3,46,6.178361929811118,0,1
