algorithm,seed,episode,day,dscr,dscr_below_1
GAIL+TD3,739,4941,5,9.81269902537875,0
GAIL+TD3,739,4941,6,13.145936981757878,0
GAIL+TD3,739,4941,7,17.365546218487395,0
GAIL+TD3,739,4941,8,7.3689503456945324,0
GAIL+TD3,739,4941,9,5.760344827586207,0
GAIL+TD3,739,4941,10,3.7536525719541003,0
GAIL+TD3,739,4941,11,3.5917089809682547,0
GAIL+TD3,739,4941,12,8.055576366422613,0
GAIL+TD3,739,4941,13,13.868912405119397,0
GAIL+TD3,739,4941,14,10.548498331479424,0
GAIL+TD3,739,4941,15,5.665166180343036,0
GAIL+TD3,739,4941,16,7.308875489262669,0
GAIL+TD3,739,4941,17,4.013974954494365,0
GAIL+TD3,739,4941,18,8.306307014784524,0
GAIL+TD3,739,4941,19,9.822565131936605,0
GAIL+TD3,739,4941,20,7.442677950319063,0
GAIL+TD3,739,4941,21,7.840052348957069,0
GAIL+TD3,739,4941,22,5.8104178430265385,0
GAIL+TD3,739,4941,23,5.7513824793909984,0
GAIL+TD3,739,4941,24,9.123678958990164,0
GAIL+TD3,739,4941,25,6.5984829367494475,0
GAIL+TD3,739,4941,26,8.84021019673902,0
GAIL+TD3,739,4941,27,6.706713355028197,0
GAIL+TD3,739,4941,28,5.874939752923568,0
GAIL+TD3,739,4941,29,8.015751244593162,0
GAIL+TD3,739,4941,30,6.319471764243052,0
GAIL+TD3,739,4941,31,6.9833520681853765,0
GAIL+TD3,739,4941,32,7.126409646430711,0
GAIL+TD3,739,4941,33,6.912343330056331,0
GAIL+TD3,739,4941,34,5.699987426863822,0
GAIL+TD3,739,4941,35,6.880934863892444,0
GAIL+TD3,739,4941,36,7.6847395417906865,0
GAIL+TD3,739,4941,37,7.897097721592878,0
GAIL+TD3,739,4941,38,5.242913988025116,0
GAIL+TD3,739,4941,39,7.466911156597609,0
GAIL+TD3,739,4941,40,7.071958166310016,0
GAIL+TD3,739,4941,41,4.726548547380334,0
GAIL+TD3,739,4941,42,6.780493611178777,0
GAIL+TD3,739,4941,43,7.1039410266591805,0
GAIL+TD3,739,4941,44,6.732403808563776,0
GAIL+TD3,739,4941,45,4.880419402907898,0
GAIL+TD3,739,4941,46,11.118498866634129,0
GAIL+TD3,739,4941,47,3.992464159119113,0
GAIL+TD3,739,4941,48,4.685307008954101,0
GAIL+TD3,739,4941,49,7.413028703807672,0
GAIL+TD3,739,4941,50,10.529695174434739,0
GAIL+TD3,739,4941,51,11.227445183719526,0
GAIL+TD3,739,4941,52,3.754346041954336,0
GAIL+TD3,739,4941,53,3.9770414210556986,0
GAIL+TD3,739,4941,54,4.349093331359633,0
GAIL+TD3,739,4941,55,4.572818291473514,0
GAIL+TD3,739,4941,56,6.728828060274467,0
GAIL+TD3,739,4941,57,15.5537494257446,0
GAIL+TD3,739,4941,58,3.402065081013358,0
GAIL+TD3,739,4941,59,10.025076032030885,0
GAIL+TD3,739,4941,60,3.370786110038038,0
GAIL+TD3,739,4941,61,4.082977352099165,0
GAIL+TD3,739,4941,62,6.203965014750843,0
GAIL+TD3,739,4941,63,9.069018975319421,0
GAIL+TD3,739,4941,64,4.405803502358533,0
GAIL+TD3,739,4941,65,6.923368616979714,0
GAIL+TD3,739,4941,66,7.869591637070791,0
GAIL+TD3,739,4941,67,3.44305501881109,0
GAIL+TD3,739,4941,68,5.661393013924084,0
GAIL+TD3,739,4941,69,7.270454444538343,0
GAIL+TD3,739,4941,70,4.788218586706953,0
GAIL+TD3,739,4941,71,6.2572779826041875,0
GAIL+TD3,739,4941,72,6.749052002985817,0
GAIL+TD3,739,4941,73,5.077174805789572,0
GAIL+TD3,739,4941,74,4.982207735871954,0
GAIL+TD3,739,4941,75,6.643624350676089,0
GAIL+TD3,739,4941,76,5.176278062180312,0
GAIL+TD3,739,4941,77,6.147964381809464,0
GAIL+TD3,739,4941,78,6.352847174741641,0
GAIL+TD3,739,4941,79,5.129720500842488,0
GAIL+TD3,739,4941,80,5.2335854829429005,0
GAIL+TD3,739,4941,81,6.225779520702552,0
GAIL+TD3,739,4941,82,5.340803635708493,0
GAIL+TD3,739,4941,83,5.950243959990496,0
GAIL+TD3,739,4941,84,6.626737561030231,0
GAIL+TD3,739,4941,85,5.166944059371759,0
GAIL+TD3,739,4941,86,5.5389699485288455,0
GAIL+TD3,739,4941,87,6.18909222690913,0
GAIL+TD3,739,4941,88,5.701320873337458,0
GAIL+TD3,739,4941,89,6.1250587164963095,0
GAIL+TD3,739,4941,90,6.545842287228932,0
GAIL+TD3,739,4941,91,5.669258689328905,0
GAIL+TD3,739,4941,92,5.927405389258167,0
GAIL+TD3,739,4941,93,6.340541367890207,0
GAIL+TD3,739,4941,94,6.043769649571692,0
GAIL+TD3,739,4941,95,6.279537426154383,0
GAIL+TD3,739,4942,5,6.068782045080778,0
GAIL+TD3,739,4942,6,10.04140601727733,0
GAIL+TD3,739,4942,7,17.85513132954238,0
GAIL+TD3,739,4942,8,8.330067015824746,0
GAIL+TD3,739,4942,9,6.201787258575959,0
GAIL+TD3,739,4942,10,7.498083416993704,0
GAIL+TD3,739,4942,11,5.04083504753433,0
GAIL+TD3,739,4942,12,6.445091738986818,0
GAIL+TD3,739,4942,13,18.767171831410693,0
GAIL+TD3,739,4942,14,12.933190193239128,0
GAIL+TD3,739,4942,15,7.110749958480629,0
GAIL+TD3,739,4942,16,8.814618561521078,0
GAIL+TD3,739,4942,17,4.7667902708817795,0
GAIL+TD3,739,4942,18,4.923104563420769,0
GAIL+TD3,739,4942,19,12.368252099941149,0
GAIL+TD3,739,4942,20,8.56893165096381,0
GAIL+TD3,739,4942,21,5.952866188619114,0
GAIL+TD3,739,4942,22,7.921904221428296,0
GAIL+TD3,739,4942,23,5.852793413425187,0
GAIL+TD3,739,4942,24,5.561035966574144,0
GAIL+TD3,739,4942,25,8.305216026864688,0
GAIL+TD3,739,4942,26,7.345731398950628,0
GAIL+TD3,739,4942,27,7.659978496903252,0
GAIL+TD3,739,4942,28,6.510094032969584,0
GAIL+TD3,739,4942,29,6.812596730441728,0
GAIL+TD3,739,4942,30,6.071536712899566,0
GAIL+TD3,739,4942,31,6.8877280691508,0
GAIL+TD3,739,4942,32,7.12082138809254,0
GAIL+TD3,739,4942,33,6.609834272021942,0
GAIL+TD3,739,4942,34,6.59175935115157,0
GAIL+TD3,739,4942,35,6.861405769140904,0
GAIL+TD3,739,4942,36,6.306521275387373,0
GAIL+TD3,739,4942,37,6.695423696417082,0
GAIL+TD3,739,4942,38,7.660740093339959,0
GAIL+TD3,739,4942,39,5.619617589179734,0
GAIL+TD3,739,4942,40,6.2167421072434355,0
GAIL+TD3,739,4942,41,5.662057970167018,0
GAIL+TD3,739,4942,42,6.281793767470399,0
GAIL+TD3,739,4942,43,5.22194147402014,0
GAIL+TD3,739,4942,44,7.138494285553862,0
GAIL+TD3,739,4942,45,9.914763104905923,0
GAIL+TD3,739,4942,46,4.23498289389432,0
GAIL+TD3,739,4942,47,5.395164684513303,0
GAIL+TD3,739,4942,48,30.45180238116527,0
GAIL+TD3,739,4942,49,3.3997273616010975,0
GAIL+TD3,739,4942,50,50.65452821703354,0
GAIL+TD3,739,4942,51,3.863225364642334,0
GAIL+TD3,739,4942,52,4.25987372423073,0
GAIL+TD3,739,4942,53,9.55368703370504,0
GAIL+TD3,739,4942,54,4.537292268214274,0
GAIL+TD3,739,4942,55,15.317350750775812,0
GAIL+TD3,739,4942,56,4.169444043447216,0
GAIL+TD3,739,4942,57,9.12508130456529,0
GAIL+TD3,739,4942,58,2.9502625750214344,0
GAIL+TD3,739,4942,59,5.537776010430428,0
GAIL+TD3,739,4942,60,5.740832091520531,0
GAIL+TD3,739,4942,61,4.964048882710694,0
GAIL+TD3,739,4942,62,4.570689906172835,0
GAIL+TD3,739,4942,63,7.967731624276549,0
GAIL+TD3,739,4942,64,5.415983547027509,0
GAIL+TD3,739,4942,65,9.444598281773002,0
GAIL+TD3,739,4942,66,3.2470426301247857,0
GAIL+TD3,739,4942,67,10.853135590456871,0
GAIL+TD3,739,4942,68,3.616135996075822,0
GAIL+TD3,739,4942,69,5.508591065292096,0
GAIL+TD3,739,4942,70,7.229541384577904,0
GAIL+TD3,739,4942,71,5.9319886943386235,0
GAIL+TD3,739,4942,72,7.998663923460508,0
GAIL+TD3,739,4942,73,4.478804999698019,0
GAIL+TD3,739,4942,74,11.738407838051863,0
GAIL+TD3,739,4942,75,3.604894787912176,0
GAIL+TD3,739,4942,76,5.975257298138358,0
GAIL+TD3,739,4942,77,7.156416484219157,0
GAIL+TD3,739,4942,78,6.203344220469652,0
GAIL+TD3,739,4942,79,4.533768148726165,0
GAIL+TD3,739,4942,80,7.680905515070677,0
GAIL+TD3,739,4942,81,6.028361885372317,0
GAIL+TD3,739,4942,82,4.406499498153806,0
GAIL+TD3,739,4942,83,6.670882782327267,0
GAIL+TD3,739,4942,84,14.845831867122806,0
GAIL+TD3,739,4942,85,4.254570082715472,0
GAIL+TD3,739,4942,86,12.253041619446032,0
GAIL+TD3,739,4942,87,4.330746321290916,0
GAIL+TD3,739,4942,88,4.834154230731794,0
GAIL+TD3,739,4942,89,6.203733290353568,0
GAIL+TD3,739,4942,90,8.946004152928108,0
GAIL+TD3,739,4942,91,4.736843172218397,0
GAIL+TD3,739,4942,92,8.451446226986407,0
GAIL+TD3,739,4942,93,4.8619448770378995,0
GAIL+TD3,739,4942,94,4.1067583360231,0
GAIL+TD3,739,4942,95,5.054440144599147,0
GAIL+TD3,739,4942,96,7.441574845097737,0
GAIL+TD3,739,4942,97,5.164804123464747,0
GAIL+TD3,739,4942,98,7.208568882276923,0
GAIL+TD3,739,4969,5,5.979924352633111,0
GAIL+TD3,739,4969,6,7.295321346975265,0
GAIL+TD3,739,4969,7,28.088742393509122,0
GAIL+TD3,739,4969,8,9.573550850399169,0
GAIL+TD3,739,4969,9,5.515921616656461,0
GAIL+TD3,739,4969,10,8.114065044921977,0
GAIL+TD3,739,4969,11,4.747427943139873,0
GAIL+TD3,739,4969,12,3.2770057727539843,0
GAIL+TD3,739,4969,13,7.16237440813027,0
GAIL+TD3,739,4969,14,7.199746250691305,0
GAIL+TD3,739,4969,15,8.818407531294183,0
GAIL+TD3,739,4969,16,6.967353371608691,0
GAIL+TD3,739,4969,17,10.845030729007505,0
GAIL+TD3,739,4969,18,7.115221458607339,0
GAIL+TD3,739,4969,19,6.1337430926982055,0
GAIL+TD3,739,4969,20,7.422344858655254,0
GAIL+TD3,739,4969,21,4.983097434292253,0
GAIL+TD3,739,4969,22,12.46747913921827,0
GAIL+TD3,739,4969,23,5.664715066354412,0
GAIL+TD3,739,4969,24,8.351581919540509,0
GAIL+TD3,739,4969,25,6.2440635396960005,0
GAIL+TD3,739,4969,26,8.211393514460998,0
GAIL+TD3,739,4969,27,5.61686934773547,0
GAIL+TD3,739,4969,28,9.178029777913329,0
GAIL+TD3,739,4969,29,6.155836977549461,0
GAIL+TD3,739,4969,30,7.105373758195196,0
GAIL+TD3,739,4969,31,6.60651188740004,0
GAIL+TD3,739,4969,32,6.970456624148071,0
GAIL+TD3,739,4969,33,6.524125842658107,0
GAIL+TD3,739,4969,34,6.279148574530081,0
GAIL+TD3,739,4969,35,6.0971502241850555,0
GAIL+TD3,739,4969,36,6.959943771381367,0
GAIL+TD3,739,4969,37,7.472433582886245,0
GAIL+TD3,739,4969,38,7.365143728794049,0
GAIL+TD3,739,4969,39,5.078581835644982,0
GAIL+TD3,739,4969,40,6.95500723195234,0
GAIL+TD3,739,4969,41,5.120403613867877,0
GAIL+TD3,739,4969,42,6.462097414284596,0
GAIL+TD3,739,4969,43,8.729904228989563,0
GAIL+TD3,739,4969,44,6.602408141015282,0
GAIL+TD3,739,4969,45,9.930785541553496,0
GAIL+TD3,739,4969,46,3.756128656318227,0
GAIL+TD3,739,4969,47,11.020006379076627,0
GAIL+TD3,739,4969,48,3.517665820718289,0
GAIL+TD3,739,4969,49,8.133691127331105,0
