algorithm,seed,episode,survival_days,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
Transformer+GAIL+TD3,291,5912,93,89,15.153233534162307,6.096701975334035,1,1.1235955056179776
Transformer+GAIL+TD3,291,5914,96,92,17.50633372317205,5.412176950206982,1,1.0869565217391304
Transformer+GAIL+TD3,291,5915,98,94,11.879044079683629,5.897333465743136,0,0
Transformer+GAIL+TD3,291,5917,98,94,16.107845195983906,5.906740792451688,0,0
Transformer+GAIL+TD3,291,5918,96,92,14.509176632832034,5.721385000584013,1,1.0869565217391304
Transformer+GAIL+TD3,291,5920,92,88,14.31522990384605,5.2236743750870005,1,1.1363636363636365
Transformer+GAIL+TD3,291,5921,98,94,15.375169704301577,6.999159318542324,0,0
Transformer+GAIL+TD3,291,5923,98,94,14.336664975138005,5.785629677237836,0,0
Transformer+GAIL+TD3,291,5924,98,94,14.68014769357969,6.816754680331957,0,0
Transformer+GAIL+TD3,291,5925,95,91,12.498313958937306,6.060862805825081,1,1.098901098901099
Transformer+GAIL+TD3,291,5926,98,94,15.413267272238,5.655259545533513,0,0
Transformer+GAIL+TD3,291,5927,98,94,15.226612045971185,5.954354833033108,0,0
Transformer+GAIL+TD3,291,5928,91,87,13.244818385157814,5.693622215440952,1,1.1494252873563218
Transformer+GAIL+TD3,291,5929,93,89,23.06905373927116,5.778960802187785,1,1.1235955056179776
Transformer+GAIL+TD3,291,5933,98,94,20.88471997753609,5.99393804728833,0,0
Transformer+GAIL+TD3,291,5937,98,94,24.844328402728586,5.532702597495994,0,0
Transformer+GAIL+TD3,291,5939,96,92,18.84920276523502,5.8038956886076765,1,1.0869565217391304
Transformer+GAIL+TD3,291,5940,98,94,11.37653981752404,6.1556665957702865,0,0
Transformer+GAIL+TD3,291,5943,98,94,21.199006921371442,5.726450418894272,0,0
Transformer+GAIL+TD3,291,5944,98,94,15.25260929995471,7.276215721018434,0,0
Transformer+GAIL+TD3,291,5946,98,94,10.051742387327794,5.97971059746177,0,0
Transformer+GAIL+TD3,291,5948,98,94,16.23390589950617,5.930998152289931,0,0
Transformer+GAIL+TD3,291,5949,98,94,12.595454901282958,5.838416198472972,1,1.0638297872340425
Transformer+GAIL+TD3,291,5950,98,94,15.7681803739955,6.087368798440123,0,0
Transformer+GAIL+TD3,291,5951,93,89,15.441460332905255,5.812870662460568,1,1.1235955056179776
Transformer+GAIL+TD3,291,5952,93,89,13.435136719308357,6.184885063193045,1,1.1235955056179776
Transformer+GAIL+TD3,291,5953,94,90,12.90912024625334,5.217874751310165,1,1.1111111111111112
Transformer+GAIL+TD3,291,5955,98,94,17.46682247755483,5.508022115873971,0,0
Transformer+GAIL+TD3,291,5958,98,94,21.84957880332389,5.637344078402495,0,0
Transformer+GAIL+TD3,291,5959,95,91,12.72319965913892,6.331384839198935,1,1.098901098901099
Transformer+GAIL+TD3,291,5960,98,94,15.064187926188806,5.405550449508452,0,0
Transformer+GAIL+TD3,291,5961,95,91,13.049828250184657,5.610264174584943,1,1.098901098901099
Transformer+GAIL+TD3,291,5963,94,90,16.11963639147456,5.308142159297335,1,1.1111111111111112
Transformer+GAIL+TD3,291,5964,98,94,24.108201007384157,6.8519971693565696,0,0
Transformer+GAIL+TD3,291,5966,98,94,17.37647863174157,6.244767619811311,0,0
Transformer+GAIL+TD3,291,5970,98,94,16.143230899198656,6.362783995472075,0,0
Transformer+GAIL+TD3,291,5971,93,89,14.618467109466238,5.821255498775792,1,1.1235955056179776
Transformer+GAIL+TD3,291,5974,98,94,15.93316401284393,6.850588070241406,0,0
Transformer+GAIL+TD3,291,5976,98,94,10.912225294164813,6.0882635646469465,0,0
Transformer+GAIL+TD3,291,5977,92,88,14.712832703519338,5.762005721563979,1,1.1363636363636365
Transformer+GAIL+TD3,291,5978,93,89,18.31907752714488,6.126423974642205,1,1.1235955056179776
Transformer+GAIL+TD3,291,5980,98,94,13.833629532235355,6.361914777128575,0,0
Transformer+GAIL+TD3,291,5981,98,94,9.084134865146186,5.9017941417336,0,0
Transformer+GAIL+TD3,291,5982,98,94,21.12120104534781,6.386187394451495,0,0
Transformer+GAIL+TD3,291,5984,98,94,16.046171154612352,6.409230113176069,0,0
Transformer+GAIL+TD3,291,5985,98,94,12.016277442831196,6.262546863304664,0,0
Transformer+GAIL+TD3,291,5987,98,94,12.86670860077466,5.807822477495023,0,0
Transformer+GAIL+TD3,291,5990,98,94,14.845710947467271,6.70718791498564,0,0
Transformer+GAIL+TD3,291,5993,98,94,16.797546001662912,5.562275776854808,0,0
Transformer+GAIL+TD3,291,5994,98,94,11.624685849248824,5.71448798001321,0,0
Transformer+GAIL+TD3,291,5996,98,94,17.187538296451606,6.418323618808071,0,0
Transformer+GAIL+TD3,291,5998,98,94,18.970754360807977,6.167343904693984,0,0
Transformer+GAIL+TD3,291,5999,98,94,15.06056271799151,5.788811427509528,0,0
Transformer+GAIL+TD3,291,6000,98,94,9.686960119239634,6.037587500830318,0,0
Transformer+GAIL+TD3,291,6001,98,94,10.709058833905653,5.948348915089229,0,0
Transformer+GAIL+TD3,291,6002,98,94,11.342130908009118,5.95822046900256,0,0
Transformer+GAIL+TD3,291,6003,96,92,12.661678530020135,5.907934202728006,1,1.0869565217391304
Transformer+GAIL+TD3,291,6006,98,94,13.888220441143583,6.116123563998791,0,0
Transformer+GAIL+TD3,291,6010,98,94,19.6804230311465,7.005037194191626,0,0
Transformer+GAIL+TD3,291,6011,98,94,16.992077690888987,6.684142234510741,0,0
Transformer+GAIL+TD3,291,6016,94,90,10.424854997530812,6.487876593756021,1,1.1111111111111112
Transformer+GAIL+TD3,291,6019,98,94,16.632297172346714,6.929629693311615,0,0
Transformer+GAIL+TD3,291,6022,98,94,11.479504641807988,6.951816056363132,0,0
Transformer+GAIL+TD3,291,6023,98,94,13.136774566764268,6.523562208991745,0,0
Transformer+GAIL+TD3,291,6027,98,94,17.46055522094914,6.108787137371339,0,0
Transformer+GAIL+TD3,291,6032,98,94,13.714715101825979,5.821206783896994,0,0
Transformer+GAIL+TD3,291,6035,93,89,15.972295482777197,5.535926175699785,1,1.1235955056179776
Transformer+GAIL+TD3,291,6037,98,94,20.42725621805204,6.0020000058616745,0,0
Transformer+GAIL+TD3,291,6039,98,94,17.51780910618187,6.516883443510666,0,0
Transformer+GAIL+TD3,291,6041,98,94,12.46630098578224,5.5755326361586,0,0
Transformer+GAIL+TD3,291,6043,97,93,11.349361486232814,5.824924550065575,1,1.075268817204301
Transformer+GAIL+TD3,291,6044,98,94,12.387043119904181,6.380722298851514,0,0
Transformer+GAIL+TD3,291,6045,98,94,18.79838710618246,5.5667671278391015,0,0
Transformer+GAIL+TD3,291,6047,98,94,28.48549962976315,5.7704189171983025,0,0
Transformer+GAIL+TD3,291,6050,98,94,10.702132050422788,6.326922606780679,0,0
Transformer+GAIL+TD3,291,6056,94,90,17.449410966440123,5.3361678176455865,1,1.1111111111111112
Transformer+GAIL+TD3,291,6058,92,88,17.053072203415628,5.532538608893539,1,1.1363636363636365
Transformer+GAIL+TD3,291,6059,98,94,14.031291510256251,5.9939695046922274,0,0
Transformer+GAIL+TD3,291,6060,98,94,18.080257328075728,6.467491097560041,0,0
Transformer+GAIL+TD3,291,6061,98,94,12.116239817089182,6.08034023579165,0,0
Transformer+GAIL+TD3,291,6063,98,94,20.685018865644793,6.242166763923066,0,0
Transformer+GAIL+TD3,291,6066,98,94,19.642816233631958,5.955625505112604,0,0
Transformer+GAIL+TD3,291,6068,98,94,14.231399651546822,5.571105637396286,0,0
Transformer+GAIL+TD3,291,6069,98,94,14.198377648161175,6.105937240999249,0,0
Transformer+GAIL+TD3,291,6070,98,94,17.03740179164191,6.401018318909447,0,0
Transformer+GAIL+TD3,291,6072,95,91,17.156054123066696,6.079249126380671,1,1.098901098901099
Transformer+GAIL+TD3,291,6073,98,94,8.528008034551572,5.0416202825406735,0,0
Transformer+GAIL+TD3,291,6075,98,94,16.616385341575292,6.646695202747502,0,0
Transformer+GAIL+TD3,291,6076,98,94,16.450346380196116,6.451563355918585,0,0
Transformer+GAIL+TD3,291,6077,98,94,13.673097191654485,6.0296066355643205,0,0
Transformer+GAIL+TD3,291,6087,98,94,11.339966085884036,5.91060367428937,0,0
Transformer+GAIL+TD3,291,6088,98,94,14.511114559478576,6.6765763482146046,0,0
Transformer+GAIL+TD3,291,6090,96,92,14.68855578383583,6.125382299671975,1,1.0869565217391304
Transformer+GAIL+TD3,291,6091,98,94,11.140930221718502,6.161817674946899,0,0
Transformer+GAIL+TD3,291,6092,98,94,20.383729427098945,5.402683662926546,0,0
Transformer+GAIL+TD3,291,6093,98,94,11.942750653989577,6.018447639980217,0,0
Transformer+GAIL+TD3,291,6095,98,94,17.45855074994145,5.11873448423428,0,0
Transformer+GAIL+TD3,291,6096,98,94,17.93306487030324,6.086365754791246,0,0
Transformer+GAIL+TD3,291,6097,98,94,18.782887733331346,5.429406982344268,0,0
Transformer+GAIL+TD3,291,6098,98,94,11.797136341972786,5.6183103776479815,0,0
