group,run,seed,step,naulc
TD3,run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,59,0.45176016949152537
TD3,run-20260621_202812-6ig7ywjq5ma7q4r3n4d2k,184,60,0.46384661016949147
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,1,0.0
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,2,0.0012161016949152543
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,3,0.0024542372881355932
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,4,0.003673728813559322
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,5,0.004860169491525424
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,6,0.006002542372881356
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,7,0.007301694915254237
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,8,0.008972033898305086
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,9,0.010800847457627119
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,10,0.012572033898305085
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,11,0.01446271186440678
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,12,0.016593220338983052
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,13,0.018734745762711866
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,14,0.020857627118644067
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,15,0.023125423728813557
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,16,0.025472033898305085
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,17,0.028283898305084747
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,18,0.03130508474576271
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,19,0.034183050847457624
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,20,0.037170338983050846
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,21,0.04006440677966101
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,22,0.043027118644067795
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,23,0.046109322033898295
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,24,0.04930169491525423
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,25,0.052733898305084737
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,26,0.05650084745762711
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,27,0.06085677966101694
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,28,0.06647118644067795
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,29,0.07323559322033897
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,30,0.08021694915254236
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,31,0.08719322033898304
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,32,0.09382881355932202
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,33,0.10065677966101692
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,34,0.10833135593220336
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,35,0.11636525423728811
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,36,0.12562711864406775
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,37,0.1362152542372881
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,38,0.14813305084745762
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,39,0.15934745762711863
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,40,0.16972033898305083
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,41,0.18149067796610166
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,42,0.19422542372881355
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,43,0.20733474576271185
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,44,0.2205593220338983
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,45,0.23396525423728814
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,46,0.24731440677966102
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,47,0.26092118644067797
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,48,0.2741932203389831
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,49,0.2875262711864407
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,50,0.3011305084745763
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,51,0.31466610169491527
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,52,0.3281483050847458
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,53,0.3413305084745763
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,54,0.3542313559322034
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,55,0.3671542372881356
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,56,0.3805305084745763
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,57,0.3941762711864407
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,58,0.40765254237288145
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,59,0.42108474576271193
TD3,run-20260621_221653-3oxu02lub6ic88gg2tlyv,291,60,0.4345720338983051
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,1,0.0
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,2,0.0012220338983050848
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,3,0.002460169491525424
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,4,0.003705932203389831
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,5,0.0049610169491525425
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,6,0.006167796610169492
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,7,0.007775423728813559
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,8,0.009831355932203389
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,9,0.011882203389830507
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,10,0.013926271186440676
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,11,0.01595
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,12,0.01794322033898305
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,13,0.01992542372881356
