group,metric_id,basis,start_step,end_step,n_runs,mean,sem,relative_sem_percent
TD3,survival,last_20_evaluation_steps,41,60,8,81.5026875,2.4857280586550137,3.0498725071550723
TD3,production,last_20_evaluation_steps,41,60,8,205433.944259375,60467.89169689296,29.434226127960596
TD3,consumption,last_20_evaluation_steps,41,60,8,185811.09722375,51555.40230213555,27.746137379541747
TD3,bank,last_20_evaluation_steps,41,60,8,5276.643154375,1294.5420206857757,24.533438832459943
TD3,naulc,final_evaluation_step,60,60,8,0.4353010593220339,0.017063573989028656,3.919947728959027
GAIL+TD3,survival,last_20_evaluation_steps,41,60,8,80.714875,4.344418626597235,5.382426258601323
GAIL+TD3,production,last_20_evaluation_steps,41,60,8,126345.7645675,25983.231233368126,20.565177884919624
GAIL+TD3,consumption,last_20_evaluation_steps,41,60,8,150013.66453,19490.40075067516,12.992416931977175
GAIL+TD3,bank,last_20_evaluation_steps,41,60,8,10309.67213875,2247.391632012608,21.798866169231005
GAIL+TD3,naulc,final_evaluation_step,60,60,8,0.6825257415254237,0.034873921435765634,5.109539364452909
Transformer+GAIL+TD3,survival,last_20_evaluation_steps,41,60,8,90.23517857142858,4.741692717948985,5.254816129383004
Transformer+GAIL+TD3,production,last_20_evaluation_steps,41,60,8,180430.94338062502,62827.84115340847,34.8209902227641
Transformer+GAIL+TD3,consumption,last_20_evaluation_steps,41,60,8,169475.583665625,39161.62340505159,23.107531219551603
Transformer+GAIL+TD3,bank,last_20_evaluation_steps,41,60,8,7151.86292375,3577.257470621838,50.01854074611014
Transformer+GAIL+TD3,naulc,final_evaluation_step,60,60,8,0.7727294794188861,0.033751506152643,4.367829499403215
