step,metric,group,mean,sem,n
4,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,627.9484000000002,25.730069378536193,8
5,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,1300.0626625,230.4684732081902,8
6,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,2257.058824999999,344.15876403074367,8
7,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,4105.572062499999,572.4092852928263,8
8,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,8045.6422375,1845.1260144446376,8
9,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,21254.415625,6906.218309889505,8
10,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,49419.383750000015,16239.966472390237,8
11,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,73796.8501625,21404.97084326968,8
12,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,97771.0808,29231.640246198098,8
13,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,109301.990775,29234.87800932437,8
14,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,113609.6531125,22824.293894584764,8
15,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,125883.9843,27352.890923770643,8
16,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,126894.82660000001,26742.201424891984,8
17,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,132308.94835,27424.22800964905,8
18,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,120099.1994375,25943.661647517663,8
19,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,129380.23335000002,21121.41111852899,8
20,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,142724.9341875,26577.0132143535,8
21,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,140383.9504625,26558.70965444884,8
22,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,141132.12602500003,28028.609024951187,8
23,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,140946.88403749999,28901.40645313553,8
24,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,144256.01518750002,27571.918342085362,8
25,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,144548.271025,26503.502992714773,8
26,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,153665.75811249999,31260.684395349366,8
27,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,151145.1132,32105.954333672897,8
28,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,150287.82797500002,28734.811585144165,8
29,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,145090.626475,31022.42309576941,8
30,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,151303.33762500004,32539.11594075376,8
31,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,157064.99387500001,35461.222551333296,8
32,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,153034.31747500002,33553.81837499556,8
33,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,149604.27422499997,27275.19651263974,8
34,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,159936.6415625,34113.80019924323,8
35,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,157145.4019625,34265.50251434913,8
36,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,157764.23979999998,32954.780827391995,8
37,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,163516.1279375,32233.91101102926,8
38,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,156647.4555625,27568.788041496733,8
39,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,159451.44665000003,29449.3086029858,8
40,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,159869.61829999997,29683.66870808014,8
41,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,168746.12622499999,39065.424480515074,8
42,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,171392.08531249996,39863.497499790166,8
43,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,169820.57851249998,38473.5707976222,8
44,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,169645.04995000002,38909.723469059776,8
45,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,171539.1612875,40216.92276965385,8
46,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,167877.21769999998,39692.75647268056,8
47,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,167977.3225125,36818.572951446724,8
48,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,171041.44289999997,39323.06202307816,8
49,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,166846.66433749997,39403.35596623605,8
50,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,169592.15443749996,36930.58667820104,8
51,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,168402.5453,39059.84783857683,8
52,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,170889.6360375,40158.9253021468,8
53,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,167776.7978,38057.01575165252,8
54,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,170540.38390000002,40538.583220052715,8
55,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,168331.72508749997,37473.381533453365,8
56,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,168620.6076875,39466.87891863441,8
57,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,168618.69742499996,39397.65655788048,8
58,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,170628.0539625,39802.236595620496,8
59,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,170434.4785375,40369.96023975522,8
60,每百回合/累计收益/消费企业,Trans.+GAIL+TD3,170790.9444,40586.76967278363,8
