step,metric,group,mean,sem,n
1,每百回合/偿债能力中位数/消费企业,TD3,57.80554395505771,0.9616498974370099,8
2,每百回合/偿债能力中位数/消费企业,TD3,57.56480354123909,0.8953306255941943,8
3,每百回合/偿债能力中位数/消费企业,TD3,57.63168448207723,0.7866579815497844,8
4,每百回合/偿债能力中位数/消费企业,TD3,58.57460529879914,0.9968159563638458,8
5,每百回合/偿债能力中位数/消费企业,TD3,58.98567485717827,0.8976919033274234,8
6,每百回合/偿债能力中位数/消费企业,TD3,58.70375392849131,1.3203059353246576,8
7,每百回合/偿债能力中位数/消费企业,TD3,57.549634904282144,1.0390893179205067,8
8,每百回合/偿债能力中位数/消费企业,TD3,52.49971611332085,1.000386864090009,8
9,每百回合/偿债能力中位数/消费企业,TD3,53.01986982381188,1.9123133752171533,8
10,每百回合/偿债能力中位数/消费企业,TD3,50.55915384266852,1.5192122561377055,8
11,每百回合/偿债能力中位数/消费企业,TD3,49.983416723330144,1.0049380835860144,8
12,每百回合/偿债能力中位数/消费企业,TD3,49.69149214407971,1.0856932792130378,8
13,每百回合/偿债能力中位数/消费企业,TD3,49.47447890270459,1.0063558287395813,8
14,每百回合/偿债能力中位数/消费企业,TD3,47.889162282846215,1.4340130964750255,8
15,每百回合/偿债能力中位数/消费企业,TD3,48.493570899907134,1.3696834041778332,8
16,每百回合/偿债能力中位数/消费企业,TD3,48.91583507329824,1.0771361171752527,8
17,每百回合/偿债能力中位数/消费企业,TD3,46.12702234466758,1.3540563043188605,8
18,每百回合/偿债能力中位数/消费企业,TD3,46.058222647784895,0.9036209608236604,8
19,每百回合/偿债能力中位数/消费企业,TD3,45.31493812169219,1.0217329959654837,8
20,每百回合/偿债能力中位数/消费企业,TD3,43.13217588237949,1.1231355615698906,8
21,每百回合/偿债能力中位数/消费企业,TD3,42.78657022182243,1.3482952733374756,8
22,每百回合/偿债能力中位数/消费企业,TD3,40.53266161890997,2.083024480273663,8
23,每百回合/偿债能力中位数/消费企业,TD3,39.80286682656494,2.5357122317449465,8
24,每百回合/偿债能力中位数/消费企业,TD3,35.70928497774784,2.2506448765370326,8
25,每百回合/偿债能力中位数/消费企业,TD3,35.313627408087754,2.129992159151708,8
26,每百回合/偿债能力中位数/消费企业,TD3,33.13118927631272,2.191194286630605,8
27,每百回合/偿债能力中位数/消费企业,TD3,30.71044956206142,2.0534385854691153,8
28,每百回合/偿债能力中位数/消费企业,TD3,29.80700336950759,3.1270299823587697,8
29,每百回合/偿债能力中位数/消费企业,TD3,28.426916858375847,2.47270027205579,8
30,每百回合/偿债能力中位数/消费企业,TD3,29.879009949378453,4.152193424846583,7
31,每百回合/偿债能力中位数/消费企业,TD3,28.161837559300004,3.5714153127012436,8
32,每百回合/偿债能力中位数/消费企业,TD3,26.31907039573901,3.4896465454466856,8
33,每百回合/偿债能力中位数/消费企业,TD3,24.644848188938397,2.0345978096623583,8
34,每百回合/偿债能力中位数/消费企业,TD3,22.21158159245812,1.68995841767451,8
35,每百回合/偿债能力中位数/消费企业,TD3,22.91390332609969,1.8335384882135382,8
36,每百回合/偿债能力中位数/消费企业,TD3,26.277762597324507,3.131025003343998,8
37,每百回合/偿债能力中位数/消费企业,TD3,29.888562992302134,4.529323721396507,8
38,每百回合/偿债能力中位数/消费企业,TD3,30.560804809683567,6.287472031029161,8
39,每百回合/偿债能力中位数/消费企业,TD3,37.29362761979946,9.300534327169887,8
40,每百回合/偿债能力中位数/消费企业,TD3,32.7365635163231,7.896554477210206,8
41,每百回合/偿债能力中位数/消费企业,TD3,29.331011106818725,7.4258587762426,8
42,每百回合/偿债能力中位数/消费企业,TD3,28.05828064365351,8.502063871356722,8
43,每百回合/偿债能力中位数/消费企业,TD3,30.44973996589053,7.996860719973421,8
44,每百回合/偿债能力中位数/消费企业,TD3,32.95778244078583,8.577641891328403,8
45,每百回合/偿债能力中位数/消费企业,TD3,33.15461391467008,8.432960801533323,8
46,每百回合/偿债能力中位数/消费企业,TD3,33.76553420031566,8.663862215403602,8
47,每百回合/偿债能力中位数/消费企业,TD3,33.628543925691574,8.364425904519553,8
48,每百回合/偿债能力中位数/消费企业,TD3,33.100161877484695,8.35784320279632,8
49,每百回合/偿债能力中位数/消费企业,TD3,34.85221960451054,9.102315544702916,8
50,每百回合/偿债能力中位数/消费企业,TD3,34.062304634537824,8.880256110759612,8
51,每百回合/偿债能力中位数/消费企业,TD3,32.27567700103076,7.835797071197444,8
52,每百回合/偿债能力中位数/消费企业,TD3,36.34897057296034,10.004065320185637,7
53,每百回合/偿债能力中位数/消费企业,TD3,34.73271615417633,8.872384912228709,8
54,每百回合/偿债能力中位数/消费企业,TD3,32.30496343533018,8.148994984469775,8
55,每百回合/偿债能力中位数/消费企业,TD3,29.054772880937605,7.4087921801789145,8
