step,metric,group,mean,sem,n
1,每百回合/偿债能力/生产企业,TD3,60.78660217689065,0.8786779581281858,8
2,每百回合/偿债能力/生产企业,TD3,61.174044755255444,0.8020047133309653,8
3,每百回合/偿债能力/生产企业,TD3,61.25466341404536,0.6991823012940469,8
4,每百回合/偿债能力/生产企业,TD3,60.190507141287796,0.6376863819086945,8
5,每百回合/偿债能力/生产企业,TD3,61.337873116964175,0.8787827920996834,8
6,每百回合/偿债能力/生产企业,TD3,59.68347222706617,1.0770490951091518,8
7,每百回合/偿债能力/生产企业,TD3,60.28590580530501,1.352559740746368,8
8,每百回合/偿债能力/生产企业,TD3,60.03923619492764,2.1335526202061112,8
9,每百回合/偿债能力/生产企业,TD3,61.53852006230536,3.9199266613265027,8
10,每百回合/偿债能力/生产企业,TD3,59.59572885423086,3.4752725305205203,8
11,每百回合/偿债能力/生产企业,TD3,54.2183100617315,2.2380224261435173,8
12,每百回合/偿债能力/生产企业,TD3,53.79680001280596,1.7197946841597291,8
13,每百回合/偿债能力/生产企业,TD3,51.78509521421503,1.1371376155475656,8
14,每百回合/偿债能力/生产企业,TD3,52.11691616367355,1.60521753263325,8
15,每百回合/偿债能力/生产企业,TD3,51.645464770236735,0.6528280104079341,8
16,每百回合/偿债能力/生产企业,TD3,51.464839480795774,0.7771587844773739,8
17,每百回合/偿债能力/生产企业,TD3,49.01519496877498,1.5924893116360668,8
18,每百回合/偿债能力/生产企业,TD3,48.74104836545696,1.5985486525724433,8
19,每百回合/偿债能力/生产企业,TD3,45.899522573450376,1.3442103662973424,8
20,每百回合/偿债能力/生产企业,TD3,44.87001121410875,1.303163350303031,8
21,每百回合/偿债能力/生产企业,TD3,44.51861902608975,2.2626027836030342,8
22,每百回合/偿债能力/生产企业,TD3,44.54673799639737,3.6209904304461484,8
23,每百回合/偿债能力/生产企业,TD3,44.623339516678506,4.7074424224171425,8
24,每百回合/偿债能力/生产企业,TD3,41.48077422638409,4.178318117914286,8
25,每百回合/偿债能力/生产企业,TD3,39.92695584506556,2.8989303953363508,8
26,每百回合/偿债能力/生产企业,TD3,37.64832078836267,3.3881545267543265,8
27,每百回合/偿债能力/生产企业,TD3,36.936158371496255,3.5296176021454646,8
28,每百回合/偿债能力/生产企业,TD3,34.27126163958697,3.8240533583654814,8
29,每百回合/偿债能力/生产企业,TD3,32.735555407597914,3.3412684483576065,8
