algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
Transformer+GAIL+TD3,192,6031,98,94,0,94,22.888137606622394,5.396790472415993,0,0
Transformer+GAIL+TD3,192,6032,98,94,1,93,27.38988586197954,5.651149577667511,0,0
Transformer+GAIL+TD3,192,6038,98,94,2,92,23.668948107519373,5.272392697086948,0,0
Transformer+GAIL+TD3,192,6040,98,94,6,88,43.81820144247452,5.533782586987163,0,0
Transformer+GAIL+TD3,192,6041,98,94,0,94,26.69105634628831,4.977762654318252,0,0
Transformer+GAIL+TD3,192,6042,98,94,0,94,21.113210970448733,5.270025298617211,0,0
Transformer+GAIL+TD3,192,6043,98,94,1,93,41.885787007637,5.4100381307085215,0,0
Transformer+GAIL+TD3,192,6048,98,94,0,94,29.527400886907188,5.46633764433518,0,0
Transformer+GAIL+TD3,192,6049,97,93,2,91,22.03899837252591,4.831095362426955,0,0
Transformer+GAIL+TD3,192,6051,98,94,4,90,16.214881540138762,5.575835784816038,0,0
Transformer+GAIL+TD3,192,6052,98,94,0,94,20.337070909281067,5.52181255323753,0,0
Transformer+GAIL+TD3,192,6053,98,94,1,93,20.256031198135563,5.596804418581715,0,0
Transformer+GAIL+TD3,192,6056,98,94,3,91,25.062960813037055,5.079868075054598,0,0
Transformer+GAIL+TD3,192,6057,98,94,2,92,23.249940494085166,5.557575651471929,0,0
Transformer+GAIL+TD3,192,6058,98,94,1,93,15.274608936347741,5.5112226460550096,0,0
Transformer+GAIL+TD3,192,6060,98,94,0,94,13.780269842970352,5.130424457989395,0,0
Transformer+GAIL+TD3,192,6061,98,94,1,93,17.386150384441443,5.373098242717302,0,0
Transformer+GAIL+TD3,192,6067,98,94,1,93,28.325308766466904,5.918045705279749,0,0
Transformer+GAIL+TD3,192,6068,98,94,4,90,33.22112226204033,6.039076258583912,0,0
Transformer+GAIL+TD3,192,6071,98,94,0,94,29.22854881167687,6.165658571054362,0,0
Transformer+GAIL+TD3,192,6072,98,94,2,92,27.92191561712482,7.1941911602823225,0,0
Transformer+GAIL+TD3,192,6075,98,94,2,92,22.086770152566633,5.609897121194532,0,0
Transformer+GAIL+TD3,192,6076,98,94,2,92,24.725717280604975,6.074915104705129,0,0
Transformer+GAIL+TD3,192,6077,98,94,0,94,21.456696302834978,5.316909643605687,0,0
Transformer+GAIL+TD3,192,6078,98,94,0,94,14.944591761790864,5.368065539652903,0,0
Transformer+GAIL+TD3,192,6079,96,92,1,91,30.06333811386756,5.634774994289195,0,0
Transformer+GAIL+TD3,192,6081,98,94,0,94,39.1876136886488,5.496100512493768,0,0
Transformer+GAIL+TD3,192,6085,98,94,1,93,18.705320145144675,5.388681117386658,0,0
Transformer+GAIL+TD3,192,6086,98,94,1,93,20.373525224273052,5.434747521328108,0,0
Transformer+GAIL+TD3,192,6087,91,87,4,83,58.608170732285146,6.220233127843433,0,0
Transformer+GAIL+TD3,192,6088,98,94,0,94,28.029859156355247,5.685244530832739,0,0
Transformer+GAIL+TD3,192,6092,98,94,0,94,20.789970321851257,5.278219441612681,0,0
Transformer+GAIL+TD3,192,6093,98,94,0,94,22.172527703886335,5.412590202690151,0,0
Transformer+GAIL+TD3,192,6095,98,94,1,93,24.12876777769972,5.51254431040642,0,0
Transformer+GAIL+TD3,192,6098,98,94,1,93,25.584471421208413,5.068758434547909,0,0
