seed,snapshot_count,first_evaluation_step,last_evaluation_step,expert_test_rows,expert_test_episodes,early_snapshot_count,early_js_mean,late_js_mean,late_minus_early_js,js_spearman_rho,js_spearman_two_sided_p_value,js_significant_downward_trend,early_auc_distance_mean,late_auc_distance_mean,auc_distance_spearman_rho,auc_distance_spearman_two_sided_p_value,auc_distance_significant_downward_trend,fixed_discriminator,fixed_discriminator_sha256,normalization_parameters_sha256,expert_csv_sha256
184,60,1,60,16952,173,12,0.34498274025511333,0.22624464015621892,-0.1187381000988944,0.03658396184639139,0.7813886098973079,False,0.31883986422039395,0.28375253415189333,0.08511134071395018,0.5179063843950918,False,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_184\discriminator_best_validation.pth,d6bd0871816e838e87c2f56995a00dc62d2071727c5f57518bab7e8c6d69438d,8fca87e2cfc537a0cd56edc824f3036064ba756ede57b88baf7a3bc137409a4a,a2d3374d946dda5e854fb418782e939613d3b6b74d2ad0e114d424a5d12d2ed3
652,60,1,60,16952,173,12,0.34039756756179207,0.26249443223870716,-0.0779031353230849,-0.057382650709339005,0.6632045635815791,False,0.24375443948098408,0.21955572347517158,0.20796167788170938,0.11083201833426419,False,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_652\discriminator_best_validation.pth,3baf3a055fb5177adcf592d58635f878b78dd72c68cc7d4e3393e2b9881f2551,8fca87e2cfc537a0cd56edc824f3036064ba756ede57b88baf7a3bc137409a4a,a2d3374d946dda5e854fb418782e939613d3b6b74d2ad0e114d424a5d12d2ed3
187,60,1,60,16952,173,12,0.3565801636740387,0.28502045463230946,-0.07155970904172926,-0.110652564676943,0.3999727906551509,False,0.21129067787509917,0.09828362432327031,0.12324451336954324,0.3481678503512895,False,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\discriminator_best_validation.pth,e5562388a7d826a5f8eb068e7e7d96066b1fe8b71d5ea3137e1bc22079b06aed,8fca87e2cfc537a0cd56edc824f3036064ba756ede57b88baf7a3bc137409a4a,a2d3374d946dda5e854fb418782e939613d3b6b74d2ad0e114d424a5d12d2ed3
