seed,evaluation_step,completed_environment_episode,td3_parameter_update_step,total_sim_days,expert_sample_count,expert_score_mean,actor_score_mean,expert_minus_actor_score_mean,actor_expert_js_divergence,expert_vs_actor_roc_auc,auc_distance_from_0_5,action_mae,action_rmse,actor_checkpoint,actor_checkpoint_sha256
187,40,4000,273140,277141,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0040_episode_004000.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,41,4100,282417,286518,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0041_episode_004100.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,42,4200,291744,295945,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0042_episode_004200.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,43,4300,300898,305199,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0043_episode_004300.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,44,4400,309858,314259,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0044_episode_004400.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,45,4500,319256,323757,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0045_episode_004500.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,46,4600,328339,332940,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0046_episode_004600.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,47,4700,337365,342066,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0047_episode_004700.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,48,4800,346415,351216,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0048_episode_004800.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
187,49,4900,355782,360683,16952,0.899774305529474,0.880197890952437,0.01957641457703707,0.2850204546323095,0.5982836243232703,0.09828362432327031,0.330595999956131,0.39922425150871277,D:\福州大学\3.课外\实验\经济系统cleanclean\经济系统clean\real_System_remake\checkpoints\final_weights\GAIL+TD3_balanced_discriminator\seed_187\actor_snapshots\evaluation_step_0049_episode_004900.pth,9205f6af3cfa51b7dbc16149c3826ec34baf9741d7ec848713f6d6ac81007691
