evaluation_step,sample_count,mean,std,sem,mean_minus_sem,mean_plus_sem
1,3,0.5800147962167418,0.07084954800117244,0.04090500561044022,0.5391097906063016,0.620919801827182
2,3,0.6016273119209384,0.05355225539178593,0.030918409066159197,0.5707089028547793,0.6325457209870976
3,3,0.36269984659396637,0.12940484449827055,0.07471192180551817,0.2879879247884482,0.43741176839948454
4,3,0.4526020117505567,0.12910571440203106,0.07453921896393158,0.37806279278662513,0.5271412307144883
5,3,0.38732712613503706,0.09421959291127374,0.05439770733026086,0.3329294188047762,0.4417248334652979
6,3,0.216587314208006,0.03431944509582544,0.0198143408645134,0.1967729733434926,0.2364016550725194
7,3,0.298987090843115,0.05791314570810865,0.03343617026419455,0.26555092057892044,0.3324232611073095
8,3,0.28028472305582824,0.04731066986423931,0.027314827981660083,0.25296989507416817,0.3075995510374883
9,3,0.25150582862191223,0.06585255615151017,0.03801999102089935,0.2134858376010129,0.2895258196428116
10,3,0.24240980849560811,0.0880078481152134,0.050811354800118155,0.19159845369548995,0.2932211632957263
11,3,0.2409865452476118,0.08979740642943417,0.05184455677456405,0.18914198847304775,0.2928311020221758
12,3,0.2528094828744551,0.07059597298590228,0.04075860400711424,0.21205087886734086,0.2935680868815693
13,3,0.2689603119592612,0.050690423793959695,0.029266129822778843,0.23969418213648233,0.29822644178204
14,3,0.23707696494579802,0.06997065918971336,0.040397578918556575,0.19667938602724144,0.2774745438643546
15,3,0.24678421567248052,0.12599704553912378,0.07274442815911066,0.17403978751336985,0.3195286438315912
16,3,0.19729578934968472,0.09000919035539508,0.051966830281227616,0.1453289590684571,0.24926261963091234
17,3,0.20566926810911076,0.08454925106494897,0.04881453286212954,0.15685473524698124,0.2544838009712403
18,3,0.20775678724647562,0.06489530986258671,0.037467324618308616,0.170289462628167,0.24522411186478424
19,3,0.172409649437025,0.05715343650754266,0.03299755195274194,0.13941209748428307,0.20540720138976692
20,3,0.2106730270705169,0.060292678242718355,0.03480999401359694,0.17586303305691997,0.24548302108411385
21,3,0.20786115698631422,0.06914346270435903,0.03991999680506454,0.16794116018124966,0.24778115379137877
22,3,0.20429426877924248,0.07168753935924416,0.04138882014660151,0.16290544863264098,0.24568308892584398
23,3,0.2109521818060618,0.06870708223638845,0.03966805242441263,0.17128412938164916,0.2506202342304744
24,3,0.22315504308132028,0.0592850003618259,0.03422821091780725,0.18892683216351303,0.25738325399912754
25,3,0.2332279257260771,0.053444631540425565,0.030856272406605066,0.20237165331947202,0.26408419813268214
26,3,0.25523122584564667,0.03400761143891117,0.019634303618751563,0.2355969222268951,0.27486552946439824
27,3,0.25599210243695014,0.0327670176183983,0.01891804644252347,0.23707405599442666,0.2749101488794736
28,3,0.24109409027315296,0.05768482764683894,0.03330435077005963,0.20778973950309332,0.2743984410432126
29,3,0.24138643042360294,0.057188310619130184,0.03301768653045475,0.2083687438931482,0.2744041169540577
30,3,0.24151466476190345,0.05697056916517929,0.03289197344340246,0.20862269131850097,0.2744066382053059
31,3,0.23755680689818534,0.06370489524629452,0.03678003841914505,0.2007767684790403,0.2743368453173304
32,3,0.24214938060455884,0.05589332991507137,0.03227002907237102,0.20987935153218784,0.27441940967692985
33,3,0.24419697723700642,0.05242441136376817,0.030267248012979232,0.2139297292240272,0.27446422524998565
34,3,0.2505152712083648,0.04180252541088722,0.024134699298781908,0.2263805719095829,0.27464997050714673
35,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
36,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
37,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
38,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
39,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
40,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
41,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
42,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
43,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
44,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
45,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
46,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
47,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
48,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
49,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
50,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
51,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
52,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
53,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
54,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
55,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
56,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
57,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
58,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
59,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
60,3,0.25791984234241183,0.02965373916340776,0.01712059428847242,0.2407992480539394,0.27504043663088423
