participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,1,td3,146.908,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,100.0,5.0,5.0,8.0,0.5,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,2,td3,88.668,0.20942,0.1376,0.2,1.124,1.25,0.8,0.8,0.1,0.1,0.0,0.1,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,76.5,7.0,7.0,10.4361,-0.13470537675484667,0.3999999999999999,0.3999999999999999,0.30451249999999996
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,3,td3,8.561,0.24985,0.1773,0.27318000000000003,1.3530000000000002,1.75,0.8,1.04361,0.0765,0.07318000000000001,0.0,0.137,0.7,0.7,0.8,0.7,1.1999062299728394,0.7,0.0,0.0,0.0,0.0,0.8,0.653,1.1999062299728394,0.5900000000000001,0.0,0.0,0.0,0.0,1.04361,10.0,1.077443212959877,10.0,76.5,7.0,7.0,10.4361,-0.19381628977386434,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,4,td3,0.521,0.26432,0.19490000000000002,0.27323000000000003,1.574,1.75,1.04361,1.04361,0.0765,5e-05,0.0,0.137,0.7,0.7,1.04361,0.7,1.077443212959877,0.7,0.0,0.0,0.0,0.0,1.04361,0.874,1.077443212959877,0.73,0.0,0.0,0.0,0.0,1.04361,10.0,1.1527914280602758,10.0,76.5,7.0,7.0,10.4361,-0.21057808716707022,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,5,td3,0.415,0.28348,0.20290000000000002,0.27323000000000003,1.67,1.75,1.04361,1.04361,0.0765,0.0,0.1,0.137,0.7,0.7,1.04361,0.7,1.1527914280602758,0.7,0.0,0.0,0.0,0.0,1.04361,0.97,1.1527914280602758,0.772,0.0,0.0,0.0,0.0,1.04361,10.0,1.258162874561211,10.0,76.5,7.0,7.0,10.4361,-0.2301396923945252,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,6,td3,32.188,0.19369999999999998,0.21240000000000003,0.17323,1.655,1.75,1.04361,1.04361,0.0765,0.0,0.1,0.087,0.7,0.7,1.04361,0.7,1.258162874561211,0.7,0.0,0.0,0.0,0.0,1.04361,0.9550000000000001,1.258162874561211,0.746,0.0,0.0,0.0,0.0,1.04361,10.0,1.3600927126739575,10.0,123.2041,5.67,5.67,8.4533,0.1360562725864739,-0.19000000000000006,-0.19000000000000006,-0.1899943465470817
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,7,td3,10.968,0.11767,0.19975,0.07323,1.544,1.4175,1.04361,0.84533,0.12320409999999998,0.0,0.07318000000000001,0.037,0.567,0.567,1.04361,0.567,1.3600927126739575,0.567,0.0,0.0,0.0,0.0,1.04361,0.977,1.3600927126739575,0.775,0.0,0.0,0.0,0.0,0.84533,10.0,1.398270957192202,10.0,0.0,5.67,5.67,8.4533,-0.5,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,8,td3,2.787,0.0498,0.18495000000000006,5e-05,1.458,1.31,0.84533,0.84533,0.0,0.0,5e-05,0.0,0.567,0.567,0.84533,0.524,1.398270957192202,0.524,0.0,0.0,0.0,0.0,0.84533,0.9339999999999999,1.398270957192202,0.8,0.0,0.0,0.0,0.0,0.84533,10.0,1.3266035288615092,10.0,0.0,5.67,5.67,8.4533,-0.5,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,9,td3,1.842,0.08911,0.13680000000000006,0.0,1.0539999999999998,0.5725,0.84533,0.84533,0.0,0.0,0.0,0.0,0.567,0.567,0.84533,0.229,1.3266035288615092,0.229,0.0,0.0,0.0,0.0,0.84533,0.825,1.3266035288615092,0.6990000000000001,0.0,0.0,0.0,0.0,0.84533,10.0,1.306790267967193,10.0,0.0,5.67,5.67,8.4533,-0.5,0.0,0.0,0.0
lemniscate,20-40岁,大专/本科,男,几乎没有,几乎没有,184,0,10,td3,18.566,0.07567,0.15080000000000005,0.0,0.8949999999999999,1.035,0.84533,0.84533,0.0,0.0,0.0,0.0,0.567,0.567,0.84533,0.414,1.306790267967193,0.414,0.0,0.0,0.0,0.0,0.84533,0.481,1.306790267967193,0.43,0.0,0.0,0.0,0.0,0.84533,10.0,1.4054059605469114,10.0,14.6936,6.237,6.237,7.608,-0.3058200079291661,0.10000000000000009,0.10000000000000009,-0.09999645109010691
