participant_id,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天K采购需求,state_12_上一天L采购需求,state_13_上一天生产企业向生产企业购买价格,state_14_上一天生产企业向生产企业购买数量,state_15_上一天生产企业向消费企业购买价格,state_16_上一天生产企业向消费企业购买数量,state_17_上一天生产企业向生产第三方市场购买价格,state_18_上一天生产企业向生产第三方市场购买数量,state_19_上一天生产企业向消费第三方市场购买价格,state_20_上一天生产企业向消费第三方市场购买数量,state_21_上一天消费企业向生产企业购买价格,state_22_上一天消费企业向生产企业购买数量,state_23_上一天消费企业向消费企业购买价格,state_24_上一天消费企业向消费企业购买数量,state_25_上一天消费企业向生产第三方市场购买价格,state_26_上一天消费企业向生产第三方市场购买数量,state_27_上一天消费企业向消费第三方市场购买价格,state_28_上一天消费企业向消费第三方市场购买数量,state_29_今天K商品报价：生产企业,state_30_今天K商品报价：生产第三方市场,state_31_今天L商品报价：消费企业,state_32_今天L商品报价：消费第三方市场,human_申请贷款金额,human_K采购需求,human_L采购需求,human_销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,184,0,1,td3,87.686,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,42.6162,5.0,5.0,8.0,-0.07383800000000001,0.0,0.0,0.0
anonymous,184,0,2,td3,38.892,0.10765999999999999,0.16990000000000002,0.12408,0.8009999999999999,1.25,0.8,0.8,0.0426162,0.024079999999999997,0.0,0.062,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.301,0.8,0.398,0.0,0.0,0.0,0.0,0.8,10.0,0.5755128542400673,10.0,38.3546,5.0,6.05,7.2,-0.14374326583689395,0.0,0.20999999999999996,-0.09999999999999998
anonymous,184,0,3,td3,103.3,0.10576,0.21760000000000002,0.13578,0.773,1.25,0.8,0.72,0.038354599999999996,0.011699999999999999,0.0,0.068,0.5,0.605,0.8,0.5,0.5755128542400673,0.605,0.0,0.0,0.0,0.0,0.8,0.273,0.5755128542400673,0.41100000000000003,0.0,0.0,0.0,0.0,0.72,10.0,0.681459689712818,10.0,27.9605,5.445,5.3906,7.2,-0.2356231089258699,0.08899999999999997,-0.10899173553719,2.220446049250313e-16
anonymous,184,0,4,td3,146.19,0.05465,0.2489,0.16094,0.772,1.085,0.72,0.7200000000000002,0.0279605,0.025160000000000002,0.0,0.08,0.5445,0.53906,0.72,0.544,0.681459689712818,0.367,0.0,0.0,10.0,0.067,0.72,0.22799999999999998,0.681459689712818,0.4,0.0,0.0,10.0,0.126,0.7200000000000002,10.0,0.6555000280715887,10.0,20.3832,4.9005,5.9297,8.712,-0.12702287282708147,-0.09999999999999998,0.10000742032426824,0.20999999999999974
anonymous,184,0,5,td3,69.838,0.045200000000000004,0.2541,0.17475,0.638,0.69,0.7200000000000002,0.8712,0.020383199999999997,0.013810000000000001,0.1,0.087,0.49005,0.59297,0.7200000000000002,0.45199999999999996,0.6555000280715887,0.257,0.0,0.0,10.0,0.019,0.7200000000000002,0.186,0.6555000280715887,0.312,0.0,0.0,10.0,0.028999999999999998,0.8712,10.0,0.6136347947817798,10.0,0.0,2.8937,3.2614,12.7553,-0.5,-0.40950923375165804,-0.44998903823127645,0.4641069788797063
anonymous,184,0,6,td3,35.114,0.0,0.25725000000000003,0.13785,0.43100000000000005,0.4625,0.8712,1.2755300000000003,0.0,0.0,0.024079999999999997,0.06899999999999999,0.28937,0.32614,0.8712,0.28900000000000003,0.6136347947817798,0.176,0.0,0.0,10.0,0.009,0.8712,0.142,0.6136347947817798,0.29300000000000004,0.0,0.0,10.0,0.015,1.2755300000000003,10.0,0.45576129240560037,10.0,0.0,2.8937,3.2614,12.7553,-0.5,0.0,0.0,-1.1102230246251565e-16
anonymous,184,1,1,td3,35.844,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,16.6771,5.3906,5.5,8.712,-0.333229,0.07811999999999997,0.10000000000000009,0.08899999999999997
anonymous,184,1,2,td3,32.78,0.089,0.17575,0.10942,0.8399999999999999,1.3475,0.8,0.8712,0.0166771,0.00942,0.0,0.05500000000000001,0.53906,0.55,0.8,0.5389999999999999,0.8,0.55,0.0,0.0,0.0,0.0,0.8,0.301,0.8,0.398,0.0,0.0,0.0,0.0,0.8712,10.0,0.5755128542400673,10.0,13.5085,6.5227,6.655,9.5832,-0.3482191011235955,0.21001372759989612,0.20999999999999996,0.10000000000000009
anonymous,184,1,3,td3,49.818,0.07929,0.24414999999999998,0.11354,0.9109999999999999,1.595,0.8712,0.95832,0.013508500000000001,0.00412,0.0,0.056999999999999995,0.65227,0.6655,0.8712,0.638,0.5755128542400673,0.644,0.0,0.0,0.0,0.0,0.8712,0.273,0.5755128542400673,0.40700000000000003,0.0,0.0,0.0,0.0,0.95832,10.0,0.6817255055136939,10.0,12.1577,6.5227,5.9895,10.5415,-0.3466679278597553,0.0,-0.09999999999999998,0.09999791301444194
anonymous,184,1,4,td3,24.495,0.07574,0.24769999999999995,0.12445999999999999,0.797,0.8324999999999999,0.95832,1.05415,0.012157700000000002,0.01092,0.0,0.062,0.65227,0.59895,0.95832,0.5690000000000001,0.6817255055136939,0.319,0.0,0.0,10.0,0.014000000000000002,0.95832,0.22799999999999998,0.6817255055136939,0.359,0.0,0.0,10.0,0.128,1.05415,10.0,0.6569744942258848,10.0,9.8477,7.175,6.5884,11.5957,-0.369980195405334,0.10000459932236638,0.09999165205776794,0.10000474315799468
