participant_id,participant_age_group,participant_education,participant_gender,participant_econ_background,participant_strategy_experience,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,1,td3,8.455,0.1,0.125,0.1,1.0,1.25,0.8,0.8,0.1,0.1,0.0,0.05,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,10.0,0.8,10.0,100.0,5.0,5.0,8.0,0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,2,td3,14.947,0.20942,0.1376,0.2,1.124,1.25,0.8,0.8,0.1,0.1,0.0,0.1,0.5,0.5,0.8,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.8,0.624,0.8,0.542,0.0,0.0,0.0,0.0,0.8,10.0,1.1999062299728394,10.0,0.0,5.0,5.0,9.0,-0.5,0.0,0.0,0.125
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,3,td3,7.924,0.20066,0.14730000000000001,0.2,1.153,1.25,0.8,0.9,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.5,1.1999062299728394,0.5,0.0,0.0,0.0,0.0,0.8,0.653,1.1999062299728394,0.5900000000000001,0.0,0.0,0.0,0.0,0.9,10.0,1.077443212959877,10.0,0.0,5.0,5.0,7.0,-0.5,0.0,0.0,-0.2222222222222222
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,4,td3,12.073,0.21338,0.1472,0.2,1.251,1.25,0.9,0.7,0.0,0.0,0.0,0.1,0.5,0.5,0.9,0.5,1.077443212959877,0.5,0.0,0.0,0.0,0.0,0.9,0.751,1.077443212959877,0.618,0.0,0.0,0.0,0.0,0.7,10.0,1.1370692569813095,10.0,0.0,5.0,5.0,6.0,-0.5,0.0,0.0,-0.1428571428571429
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,5,td3,4.659,0.21230000000000002,0.1411,0.2,1.311,1.25,0.7,0.6,0.0,0.0,0.1,0.1,0.5,0.5,0.7,0.5,1.1370692569813095,0.5,0.0,0.0,0.0,0.0,0.7,0.8109999999999999,1.1370692569813095,0.692,0.0,0.0,0.0,0.0,0.6,10.0,1.0690582711767804,10.0,0.0,5.0,5.0,6.0,-0.5,0.0,0.0,0.0
anonymous,20-40岁,大专/本科,男,几乎没有,偶尔接触,184,0,6,td3,24.982,0.10525,0.1371,0.1,1.29,1.25,0.6,0.6,0.0,0.0,0.1,0.05,0.5,0.5,0.6,0.5,1.0690582711767804,0.5,0.0,0.0,0.0,0.0,0.6,0.79,1.0690582711767804,0.659,0.0,0.0,0.0,0.0,0.6,10.0,1.113810555063693,10.0,99.99,5.0,5.0,5.0,0.4500237529691211,0.0,0.0,-0.16666666666666663
