algorithm,seed,window,start_episode,end_episode,episodes_observed,valid_episodes,daily_count,daily_mean,daily_median,daily_p10,daily_p25,daily_p75,daily_p90,daily_min,daily_max,daily_below1Pct,daily_nearNarrowPct,daily_nearWidePct,episode_avg_count,episode_avg_mean,episode_avg_median,episode_avg_p10,episode_avg_p25,episode_avg_p75,episode_avg_p90,episode_avg_min,episode_avg_max,episode_avg_below1Pct,episode_avg_nearNarrowPct,episode_avg_nearWidePct,adjusted_daily_count,adjusted_daily_mean,adjusted_daily_median,adjusted_daily_p10,adjusted_daily_p25,adjusted_daily_p75,adjusted_daily_p90,adjusted_daily_min,adjusted_daily_max,adjusted_daily_below1Pct,adjusted_daily_nearNarrowPct,adjusted_daily_nearWidePct,adjusted_episode_avg_count,adjusted_episode_avg_mean,adjusted_episode_avg_median,adjusted_episode_avg_p10,adjusted_episode_avg_p25,adjusted_episode_avg_p75,adjusted_episode_avg_p90,adjusted_episode_avg_min,adjusted_episode_avg_max,adjusted_episode_avg_below1Pct,adjusted_episode_avg_nearNarrowPct,adjusted_episode_avg_nearWidePct,method2_iqr_daily_originalCount,method2_iqr_daily_retainedCount,method2_iqr_daily_removedCount,method2_iqr_daily_q1,method2_iqr_daily_q3,method2_iqr_daily_iqr,method2_iqr_daily_lowerFence,method2_iqr_daily_upperFence,method2_iqr_daily_lowerWhisker,method2_iqr_daily_upperWhisker,method2_iqr_daily_mean,method2_iqr_daily_median,method2_iqr_episode_avg_originalCount,method2_iqr_episode_avg_retainedCount,method2_iqr_episode_avg_removedCount,method2_iqr_episode_avg_q1,method2_iqr_episode_avg_q3,method2_iqr_episode_avg_iqr,method2_iqr_episode_avg_lowerFence,method2_iqr_episode_avg_upperFence,method2_iqr_episode_avg_lowerWhisker,method2_iqr_episode_avg_upperWhisker,method2_iqr_episode_avg_mean,method2_iqr_episode_avg_median
GAIL+TD3,83,last_1000_episodes,5100,6099,1000,1000,79878,8.686267793872263,5.204140723404494,2.2985573726215267,3.8268245778649326,7.853634713835668,17.324429033164787,-0.00014507267673125306,1124.303370786517,0.632214126542978,0.4694659355517164,1.5598788151931695,1000,9.632561503735662,8.512773210098072,7.30147917880536,7.844568104958286,9.292060977810179,10.734467094727126,6.013248952235617,45.13590222513078,0,0,0,79878,4.3431338969361315,2.602070361702247,1.1492786863107634,1.9134122889324663,3.926817356917834,8.662214516582393,-0.00007253633836562653,562.1516853932585,6.681439194772028,8.59686021182303,14.86892511079396,1000,4.816280751867831,4.256386605049036,3.65073958940268,3.922284052479143,4.646030488905089,5.367233547363563,3.0066244761178087,22.56795111256539,0,0,0,79878,69975,9903,1.9134122889324663,3.926817356917834,2.013405067985368,-1.1066953130455859,6.946924958895886,-0.00007253633836562653,6.946872700515084,2.637361968641083,2.4409429101442774,1000,923,77,3.922284052479143,4.646030488905089,0.7237464364259463,2.8366643978402237,5.731650143544009,3.0066244761178087,5.723443301004137,4.23205410777729,4.202854442653721
GAIL+TD3,83,last_100_episodes,6000,6099,100,100,8399,8.711925348101287,5.251344279813752,2.259233669937698,3.8501184449648607,7.936927105999028,17.769176026262862,0.1343403270200554,198.168428470754,0.65483986188832,0.4048100964400524,1.5120847719966664,100,8.983969497614886,8.559660962464232,7.401355264536862,7.764606851207792,9.340917910339329,10.521525887634429,6.993060685465637,23.713305049852682,0,0,0,8399,4.355962674050644,2.625672139906876,1.129616834968849,1.9250592224824303,3.968463552999514,8.884588013131431,0.0671701635100277,99.084214235377,7.096082867007977,9.203476604357661,15.239909513037267,100,4.491984748807443,4.279830481232116,3.700677632268431,3.882303425603896,4.670458955169664,5.260762943817214,3.4965303427328185,11.856652524926341,0,0,0,8399,7356,1043,1.9250592224824303,3.968463552999514,2.0434043305170837,-1.1400472732931952,7.03357004877514,0.0671701635100277,7.032695206921375,2.650252956485225,2.4601956745446216,100,97,3,3.882303425603896,4.670458955169664,0.7881555295657683,2.7000701312552433,5.8526922495183165,3.4965303427328185,5.761562296882758,4.323979487895936,4.276210406686572
GAIL+TD3,184,last_1000_episodes,5100,6099,1000,1000,85592,6.742024531889555,5.258821654272597,2.6173216384570184,3.693334818709741,7.1612772613928595,10.737609097617993,0.1987670729293329,314.0895034458385,0.13085335078044677,0.1612300214973362,0.593513412468455,1000,6.559476301449983,6.419073466794671,5.677561866425417,6.051916724824694,6.949702032659374,7.753826601773508,0.8064452352708581,21.220871764329516,0.3,0.4,0.5,85592,3.3710122659447777,2.6294108271362986,1.3086608192285092,1.8466674093548705,3.5806386306964297,5.368804548808996,0.09938353646466645,157.04475172291924,2.80750537433405,6.112720815029442,15.367090382278716,1000,3.2797381507249916,3.2095367333973357,2.8387809332127083,3.025958362412347,3.474851016329687,3.876913300886754,0.40322261763542905,10.610435882164758,0.8,0.7000000000000001,2,85592,79236,6356,1.8466674093548705,3.5806386306964297,1.7339712213415592,-0.7542894226574686,6.181595462708769,0.09938353646466645,6.1814370554452145,2.653318215227061,2.5208245164563716,1000,874,126,3.025958362412347,3.474851016329687,0.4488926539173401,2.3526193815363365,4.148189997205697,2.4718870632548247,4.139128216296996,3.2604538298237156,3.2095367333973357
GAIL+TD3,184,last_100_episodes,6000,6099,100,100,8893,6.775928353552067,5.2787798469800515,2.6128928035215147,3.7273037008193954,7.183980651287729,10.834533958082284,0.30401672182546596,270.20049333991125,0.10120319352299563,0.11244799280332846,0.5285055661756437,100,6.635429273027221,6.474917124818881,5.778031171504576,6.139247659521654,6.9359317799828375,7.819200136560331,0.9602514606611383,10.85479137992824,1,1,1,8893,3.3879641767760336,2.6393899234900258,1.3064464017607573,1.8636518504096977,3.5919903256438643,5.417266979041142,0.15200836091273298,135.10024666995562,2.833689418643877,6.308332396266726,15.349151017654336,100,3.3177146365136103,3.2374585624094405,2.889015585752288,3.069623829760827,3.4679658899914187,3.9096000682801657,0.48012573033056916,5.42739568996412,1,0,0,8893,8224,669,1.8636518504096977,3.5919903256438643,1.7283384752341666,-0.7288558624415522,6.184498038495114,0.15200836091273298,6.181132844335777,2.6623749019193044,2.5289681333348626,100,88,12,3.069623829760827,3.4679658899914187,0.3983420602305916,2.4721107394149398,4.065478980337306,2.801644819720454,4.008157119828837,3.2640770553727845,3.226847398376708
GAIL+TD3,187,last_1000_episodes,5100,6099,1000,1000,80103,8.759459441749035,5.217098374834979,2.5123831572671027,3.567929544269864,6.460046266643426,9.728094678427205,-0.002641963748244238,466.5798319327731,0.44942136998614285,0.3420595982672309,1.046153077912188,1000,10.437171023721605,8.536044370568298,6.306772759548682,7.505313503825199,10.017307830620695,13.930378142116302,2.688528010486342,72.1511462080317,0,0,0,80103,4.379729720874518,2.6085491874174895,1.2561915786335514,1.783964772134932,3.230023133321713,4.864047339213602,-0.001320981874122119,233.28991596638656,3.871265745352858,6.906108385453728,16.81460120095377,1000,5.218585511860803,4.268022185284149,3.153386379774341,3.7526567519125993,5.008653915310347,6.965189071058151,1.344264005243171,36.07557310401585,0,0,0.1,80103,73255,6848,1.783964772134932,3.230023133321713,1.4460583611867808,-0.38512276964523906,5.399110675101884,-0.001320981874122119,5.398007203875188,2.4623285573504554,2.490638623061292,1000,886,114,3.7526567519125993,5.008653915310347,1.255997163397748,1.8686610068159772,6.89264966040697,1.9082194422244838,6.887174937368215,4.236301180254764,4.168170698748433
GAIL+TD3,187,last_100_episodes,6000,6099,100,100,8528,8.742722736418923,5.2222169324248435,2.537575823316868,3.5662022323512685,6.472282820164671,9.749198161055723,0.07710504313069723,395.95880149812734,0.4104127579737336,0.29315196998123827,0.9615384615384616,100,9.179613401053956,8.562585084178519,6.498223042404371,7.4925970524862,9.915129066467497,11.049075541804545,3.469422364301663,33.26474111546281,0,0,0,8528,4.371361368209461,2.6111084662124218,1.268787911658434,1.7831011161756343,3.2361414100823356,4.874599080527862,0.038552521565348614,197.97940074906367,3.541275797373358,6.76594746716698,16.73311444652908,100,4.589806700526978,4.281292542089259,3.2491115212021855,3.7462985262431,4.957564533233748,5.524537770902272,1.7347111821508314,16.632370557731406,0,0,0,8528,7809,719,1.7831011161756343,3.2361414100823356,1.4530402939067013,-0.3964593246844177,5.415701850942387,0.038552521565348614,5.411877185725566,2.469657316753451,2.4945077068660018,100,91,9,3.7462985262431,4.957564533233748,1.2112660069906482,1.9293995157571278,6.774463543719721,2.0728727336876167,6.707714350882112,4.264955211025186,4.245443063564853
GAIL+TD3,191,last_1000_episodes,5100,6099,1000,1000,79778,6.230878139900946,5.547905808041931,2.9026606674531323,4.344117364042021,6.517353966331301,9.350966225601981,0.023414657580012273,169.3321987178149,0.7332848655017674,0.5477700619218331,1.4452605981598938,1000,6.24162131325914,6.193592013637611,5.7738306797344245,5.940239723335415,6.445271383008758,6.741740846554236,2.8923127758759253,23.05277528525098,0,0,0,79778,3.115439069950473,2.7739529040209656,1.4513303337265662,2.1720586820210106,3.2586769831656506,4.675483112800991,0.011707328790006136,84.66609935890745,3.4044473413723084,3.820602171024593,10.224623329740028,1000,3.12081065662957,3.0967960068188054,2.8869153398672123,2.9701198616677074,3.222635691504379,3.370870423277118,1.4461563879379626,11.52638764262549,0,0,0.1,79778,71837,7941,2.1720586820210106,3.2586769831656506,1.08661830114464,0.5421312303040506,4.888604434882611,0.5422076462921656,4.888535790895368,2.6193479534206006,2.7070843566180423,1000,942,58,2.9701198616677074,3.222635691504379,0.25251582983667165,2.5913461169126997,3.6014094362593863,2.6440621242884546,3.583435009135974,3.1027940193639205,3.0909143347158086
GAIL+TD3,191,last_100_episodes,6000,6099,100,100,7927,6.185970196743198,5.539424005327119,2.935914816267591,4.372412734305028,6.464094466572417,9.251134158796209,0.07829393254800712,166.64835164835165,0.7442916614103696,0.5424498549262016,1.4002775324839158,100,6.198109693764001,6.1347955366984035,5.7277086021654675,5.898927440505916,6.389583268909476,6.806918125971497,5.288124248576909,7.9296952841345725,0,0,0,7927,3.092985098371599,2.7697120026635593,1.4679574081337956,2.186206367152514,3.2320472332862087,4.625567079398104,0.03914696627400356,83.32417582417582,3.5574618392834614,4.150372145830705,9.928093856440015,100,3.0990548468820003,3.0673977683492017,2.8638543010827338,2.949463720252958,3.194791634454738,3.4034590629857484,2.6440621242884546,3.9648476420672862,0,0,0,7927,7100,827,2.186206367152514,3.2320472332862087,1.0458408661336946,0.6174450679519721,4.800808532486751,0.6233099525443629,4.799356952946268,2.6148369699074405,2.706453404753601,100,96,4,2.949463720252958,3.194791634454738,0.24532791420178013,2.5814718489502875,3.562783505757408,2.6440621242884546,3.5472559021934855,3.0675176270611466,3.0408080843839476
GAIL+TD3,291,last_1000_episodes,5100,6099,1000,1000,69289,89.81238789433111,7.313345373751023,2.1838600283235365,3.6480776786215405,105.59477320516672,246.67264666679955,-0.00020052135552470337,82863.5,0.7721283320584797,1.2440647144568402,3.424786041074341,1000,88.64637712320504,71.60482448583132,43.19932419816903,57.439537224404354,91.74985748905625,132.62426697865018,1.7216494732433074,1506.534614048358,0,0,0,69289,44.906193947165555,3.6566726868755115,1.0919300141617683,1.8240388393107703,52.79738660258336,123.33632333339978,-0.00010026067776235169,41431.75,8.148479556639582,7.921892363867281,17.75895163734503,1000,44.32318856160252,35.80241224291566,21.599662099084515,28.719768612202177,45.87492874452813,66.31213348932509,0.8608247366216537,753.267307024179,0.1,0.5,0.6,69289,62979,6310,1.8240388393107703,52.79738660258336,50.973347763272585,-74.6359828055981,129.25740824749224,-0.00010026067776235169,129.25512367491166,20.07091598255729,3.1794557070587808,1000,889,111,28.719768612202177,45.87492874452813,17.15516013232595,2.987028413713251,71.60766894301705,2.988756134595231,70.83636420709615,35.875191149600916,34.88080636252076
GAIL+TD3,291,last_100_episodes,6000,6099,100,100,6927,99.63590720750506,7.394864184786117,2.21710675793312,3.6279803611956405,102.35836434294403,243.4402308522551,0.10558247192949666,82863.5,0.7795582503248158,1.3858813339107838,3.46470333477696,100,100.57003955799948,74.04134823223029,45.6212264521399,59.077123623367655,92.49049537070614,132.46291743292525,2.010223130615487,1504.8535289906972,0,0,0,6927,49.81795360375253,3.6974320923930586,1.10855337896656,1.8139901805978202,51.179182171472014,121.72011542612755,0.05279123596474833,41431.75,7.766709975458351,7.651219864299119,17.58336942399307,100,50.28501977899974,37.020674116115146,22.81061322606995,29.538561811683827,46.24524768535307,66.23145871646263,1.0051115653077436,752.4267644953486,0,2,2,6927,6273,654,1.8139901805978202,51.179182171472014,49.365191990874195,-72.23379780571346,125.22697015778331,0.05279123596474833,125.15798045602608,19.368129592197615,3.167832051961824,100,87,13,29.538561811683827,46.24524768535307,16.706685873669244,4.478533001179962,71.30527649585693,11.456931994252606,67.61252384557925,37.768804680830776,36.654723027444994
