seed,start_episode,end_episode,current_constant,current_stable_episode_mean_dscr,target_half_dscr,shared_constant,dscr_with_shared_constant,shared_to_current_ratio,shared_daily_mean,shared_daily_median,shared_daily_p10,shared_daily_p90,seed_specific_half_constant
83,5001,6000,2.5,40.28413957006257,20.142069785031286,52.67038329008322,25.02885415784138,0.6213078999567795,25.099705982979344,6.795438941576087,2.8937991801922403,85.8475806283526,93.85179822107116
117,5001,6000,2.5,16.87571570013068,8.43785785006534,52.67038329008322,14.238536079149263,0.8437293168572996,14.955995832244405,5.509625137129708,2.5296836947680243,27.30266032819643,348.5997480622269
184,5001,6000,2.5,19.98609318545096,9.99304659272548,52.67038329008322,10.087989147821201,0.5047504309228796,10.557465726597583,6.0693110850911784,2.6724163292916763,21.30869942859463,54.169924225710375
291,5001,6000,2.5,22.26837500374362,11.13418750187181,52.67038329008322,11.046019695287452,0.49604067173426275,11.5154289857854,4.802525750769849,2.307011451504293,37.85255509932112,51.66053450653351
512,5001,6000,2.5,122.22478862949444,61.11239431474722,52.67038329008322,50.08414812620899,0.4097707894429774,50.67813240288018,12.650730048473346,3.361128938375011,150.18936199825987,34.36118888129121
652,5001,6000,2.5,14.543278309455474,7.271639154727737,52.67038329008322,6.554751255566479,0.4507065818375238,6.570081940484544,5.565844290467463,2.3867991313245858,12.27589297276251,41.57216861596628
739,5001,6000,2.5,23.614626668340776,11.807313334170388,52.67038329008322,13.031390137043063,0.5518355348176538,14.079867776250797,4.661025260825503,2.113923767190094,49.35308662885913,68.41760571897748
894,5001,6000,2.5,39.248350701160376,19.624175350580188,52.67038329008322,19.45099528500166,0.49558758361855426,19.59363163377525,5.607906847154318,2.38267855160587,63.38239771775958,51.65375386375389
