algorithm,seed,episode,day,dscr,dscr_below_1,iqr_retained
GAIL+TD3,291,5768,5,5.744360161560437,0,1
GAIL+TD3,291,5768,6,10.004497457958546,0,1
GAIL+TD3,291,5768,7,23.32040382571733,0,1
GAIL+TD3,291,5768,8,6.813569833788141,0,1
GAIL+TD3,291,5768,9,17.662305603554678,0,1
GAIL+TD3,291,5768,10,34.99018181818182,0,1
GAIL+TD3,291,5768,11,165.6471935853379,0,1
GAIL+TD3,291,5768,12,4.265001854370132,0,1
GAIL+TD3,291,5768,13,26.269031141868513,0,1
GAIL+TD3,291,5768,14,10.88626795086222,0,1
GAIL+TD3,291,5768,15,13.248916092833461,0,1
GAIL+TD3,291,5768,16,10.179099317140633,0,1
GAIL+TD3,291,5768,17,9.400387582171222,0,1
GAIL+TD3,291,5768,18,6.309154589985026,0,1
GAIL+TD3,291,5768,19,10.369856413221548,0,1
GAIL+TD3,291,5768,20,25.67751878250819,0,1
GAIL+TD3,291,5768,21,4.987534026662943,0,1
GAIL+TD3,291,5768,22,6.009200044878267,0,1
GAIL+TD3,291,5768,25,7.752683783011551,0,1
GAIL+TD3,291,5768,27,205.88252862120459,0,1
GAIL+TD3,291,5768,28,4.915086145287024,0,1
GAIL+TD3,291,5768,29,4.198385380812317,0,1
GAIL+TD3,291,5768,30,176.84148397976392,0,1
GAIL+TD3,291,5768,31,3.0526021903069314,0,1
GAIL+TD3,291,5768,32,181.74923171481257,0,1
GAIL+TD3,291,5768,33,2.2973967679184386,0,1
GAIL+TD3,291,5768,34,214.7890262751159,0,1
GAIL+TD3,291,5768,36,2.887318520531812,0,1
GAIL+TD3,291,5768,40,5.650260705802987,0,1
GAIL+TD3,291,5768,42,3.385096693973669,0,1
GAIL+TD3,291,5768,43,2.669905500974533,0,1
GAIL+TD3,291,5768,44,68.94580680124643,0,1
GAIL+TD3,291,5768,46,155.69039029189898,0,1
GAIL+TD3,291,5768,47,8.872003793757543,0,1
GAIL+TD3,291,5768,48,3.2178179509658693,0,1
GAIL+TD3,291,5768,49,2.215142741201373,0,1
GAIL+TD3,291,5768,50,1.8085443509531802,0,1
GAIL+TD3,291,5768,52,6.327109721993748,0,1
GAIL+TD3,291,5768,53,157.0801241102391,0,1
GAIL+TD3,291,5768,54,222.07063645130185,0,1
GAIL+TD3,291,5768,55,8.179116555515249,0,1
GAIL+TD3,291,5768,56,17.706107945651492,0,1
GAIL+TD3,291,5768,57,2.7587789099477087,0,1
GAIL+TD3,291,5768,58,1.4771846997251168,0,1
GAIL+TD3,291,5768,59,9.463642800437702,0,1
GAIL+TD3,291,5768,60,11.910095842888222,0,1
GAIL+TD3,291,5768,61,1.9976457722217285,0,1
GAIL+TD3,291,5768,62,151.4610922184437,0,1
GAIL+TD3,291,5768,63,137.4534632034632,0,1
GAIL+TD3,291,5768,64,11.3001110135798,0,1
GAIL+TD3,291,5768,65,128.74478178368122,0,1
GAIL+TD3,291,5768,66,2.035329046344743,0,1
GAIL+TD3,291,5768,67,1.543665760138669,0,1
GAIL+TD3,291,5768,68,3.9118732459726426,0,1
GAIL+TD3,291,5768,69,2.549901011372182,0,1
GAIL+TD3,291,5768,70,89.24548515457606,0,1
GAIL+TD3,291,5768,71,184.1269108739544,0,1
GAIL+TD3,291,5768,73,9.267497805917753,0,1
GAIL+TD3,291,5768,74,7.626556918026455,0,1
GAIL+TD3,291,5768,75,6.069314165614588,0,1
GAIL+TD3,291,5768,76,34.72232627535634,0,1
GAIL+TD3,291,5768,77,2.0225144415017353,0,1
GAIL+TD3,291,5768,78,136.9517288135593,0,1
GAIL+TD3,291,5768,79,1.1161748037013373,0,1
GAIL+TD3,291,5768,80,2.25194328142545,0,1
GAIL+TD3,291,5768,81,21.278474081284983,0,1
GAIL+TD3,291,5768,82,40.800121938827346,0,1
GAIL+TD3,291,5768,83,3.63181458033647,0,1
GAIL+TD3,291,5768,84,8.83123596679025,0,1
GAIL+TD3,291,5768,85,8.91542150253666,0,1
GAIL+TD3,291,5768,86,4.256288128635933,0,1
GAIL+TD3,291,5768,87,3.5516479389026263,0,1
GAIL+TD3,291,5768,88,1.5046935330639142,0,1
GAIL+TD3,291,5768,89,1.184185362046418,0,1
GAIL+TD3,291,5768,90,95.58270042194093,0,1
GAIL+TD3,291,5768,91,1.4939789400368415,0,1
GAIL+TD3,291,5768,92,92.55277560594214,0,1
GAIL+TD3,291,5768,93,1.7865191236100093,0,1
GAIL+TD3,291,5768,94,150.72620126926563,0,1
GAIL+TD3,291,5768,95,6.397713588413802,0,1
GAIL+TD3,291,5768,96,4.643773460021076,0,1
GAIL+TD3,291,5768,97,4.236851330822405,0,1
GAIL+TD3,291,5768,98,5.011714029211699,0,1
GAIL+TD3,291,5770,5,9.226703889102811,0,1
GAIL+TD3,291,5770,6,15.52930535455861,0,1
GAIL+TD3,291,5770,7,6.414595224943229,0,1
GAIL+TD3,291,5770,8,7.047866244185261,0,1
GAIL+TD3,291,5770,9,3.8880315862443116,0,1
GAIL+TD3,291,5770,10,3.3716317172445778,0,1
GAIL+TD3,291,5770,11,5.834123560657373,0,1
GAIL+TD3,291,5770,12,78.12493777999003,0,1
GAIL+TD3,291,5770,13,36.763061968408266,0,1
GAIL+TD3,291,5770,14,9.944323247652472,0,1
GAIL+TD3,291,5770,15,4.731865523521106,0,1
GAIL+TD3,291,5770,16,5.536075813051905,0,1
GAIL+TD3,291,5770,17,6.588112339062952,0,1
GAIL+TD3,291,5770,18,5.212896064188203,0,1
GAIL+TD3,291,5770,19,6.995519097181062,0,1
GAIL+TD3,291,5770,20,7.399751475613545,0,1
GAIL+TD3,291,5770,22,3.5256222189623987,0,1
GAIL+TD3,291,5770,24,164.6878680800942,0,1
GAIL+TD3,291,5770,25,222.82281553398062,0,1
GAIL+TD3,291,5770,26,3.5218399920689993,0,1
GAIL+TD3,291,5770,27,4.283690939233565,0,1
GAIL+TD3,291,5770,28,4.956056396006999,0,1
GAIL+TD3,291,5770,29,4.055257028205069,0,1
GAIL+TD3,291,5770,30,2.89081211375234,0,1
GAIL+TD3,291,5770,32,2.5992302344902423,0,1
GAIL+TD3,291,5770,33,1.9520492060503358,0,1
GAIL+TD3,291,5770,36,9.242556706015069,0,1
GAIL+TD3,291,5770,37,30.519520260599176,0,1
GAIL+TD3,291,5770,38,136.14422805532033,0,1
GAIL+TD3,291,5770,39,153.45748536381376,0,1
GAIL+TD3,291,5770,40,3.853010568685083,0,1
GAIL+TD3,291,5770,41,2.218396808079934,0,1
GAIL+TD3,291,5770,42,2.1253667787008883,0,1
GAIL+TD3,291,5770,43,223.15831344470965,0,1
GAIL+TD3,291,5770,44,10.15830285296269,0,1
GAIL+TD3,291,5770,45,2.3584934545101524,0,1
