algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
GAIL+TD3,291,5999,98,94,0,94,54.758096028806655,5.760019898910569,0,0
GAIL+TD3,291,6003,93,89,0,89,46.392724648268675,6.086383687300986,1,1.1235955056179776
GAIL+TD3,291,6005,98,94,0,94,86.70341145407176,8.648152762271573,0,0
GAIL+TD3,291,6011,93,89,0,89,81.14995059555896,6.597650489341733,1,1.1235955056179776
GAIL+TD3,291,6012,98,94,0,94,57.763334524412954,7.379001008589928,0,0
GAIL+TD3,291,6019,98,94,0,94,52.730960535478594,5.947506497059054,0,0
GAIL+TD3,291,6020,98,94,0,94,135.2250476911585,10.118602901152718,0,0
GAIL+TD3,291,6026,98,94,0,94,56.82425161231887,5.442863079786138,0,0
GAIL+TD3,291,6029,92,88,0,88,39.71741043375085,5.618399745408759,1,1.1363636363636365
GAIL+TD3,291,6031,93,89,0,89,61.96286019815584,7.960844028714381,0,0
GAIL+TD3,291,6032,93,89,0,89,76.14734649202684,6.835702610769979,0,0
GAIL+TD3,291,6034,98,94,0,94,73.59425273922604,6.153077965126256,0,0
GAIL+TD3,291,6037,98,94,0,94,128.28656812625744,8.048347125155756,0,0
GAIL+TD3,291,6040,94,90,0,90,62.45358140955467,7.904157408079712,1,1.1111111111111112
GAIL+TD3,291,6042,98,94,0,94,59.30111840524771,7.2475782003349964,0,0
GAIL+TD3,291,6043,98,94,0,94,65.15559536005817,6.862785907290629,0,0
GAIL+TD3,291,6049,98,94,0,94,89.73779215422459,11.073847097843203,0,0
GAIL+TD3,291,6052,98,94,0,94,78.49071033875232,6.073396169206712,0,0
GAIL+TD3,291,6053,98,94,0,94,42.58095465106516,5.124883197684298,0,0
GAIL+TD3,291,6055,98,94,0,94,52.90950427012914,6.508736012233991,0,0
GAIL+TD3,291,6056,98,94,0,94,68.37513581105159,6.42299472995459,0,0
GAIL+TD3,291,6057,97,93,0,93,110.02759575541954,7.090428612800463,1,1.075268817204301
GAIL+TD3,291,6066,98,94,0,94,51.82401435521402,6.135059982299978,0,0
GAIL+TD3,291,6080,92,88,0,88,204.83545612468745,7.945088906085456,1,1.1363636363636365
GAIL+TD3,291,6081,98,94,0,94,64.58569200740358,7.717769522942538,0,0
GAIL+TD3,291,6090,98,94,0,94,69.34706793422015,7.402003005079205,0,0
GAIL+TD3,291,6098,98,94,0,94,67.6771102583455,6.957290889693186,0,0
GAIL+TD3,291,6099,98,94,0,94,64.96549714760393,6.630032341579872,0,0
