algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
GAIL+TD3,191,5907,98,94,0,94,6.132612612542382,5.529776553889926,0,0
GAIL+TD3,191,5911,98,94,0,94,7.504628197689354,5.625294958411687,0,0
GAIL+TD3,191,5912,98,94,0,94,6.537260925864453,5.62256719756899,0,0
GAIL+TD3,191,5914,98,94,0,94,6.396550092149822,5.5542671616178545,0,0
GAIL+TD3,191,5916,96,92,0,92,5.932598195057168,5.522043924484125,1,1.0869565217391304
GAIL+TD3,191,5918,98,94,0,94,5.782745571273073,5.326832611287751,0,0
GAIL+TD3,191,5920,98,94,0,94,5.853061651378023,5.4544274311319905,0,0
GAIL+TD3,191,5928,98,94,0,94,6.173568743984844,5.495553780696232,0,0
GAIL+TD3,191,5929,98,94,0,94,6.53006852986186,5.6247148808302665,0,0
GAIL+TD3,191,5932,98,94,0,94,5.9209192035207145,5.373382735898762,0,0
GAIL+TD3,191,5933,98,94,0,94,6.1280429912582415,5.468972207869676,0,0
GAIL+TD3,191,5934,98,94,0,94,6.405266973955945,5.521108948504462,0,0
GAIL+TD3,191,5939,94,90,0,90,7.148879554082674,5.38140418468645,1,1.1111111111111112
GAIL+TD3,191,5940,98,94,0,94,6.075256447304773,5.488058602184713,0,0
GAIL+TD3,191,5941,98,94,0,94,6.101562497788065,5.663944502411335,0,0
GAIL+TD3,191,5942,98,94,0,94,5.901929681365516,5.57677231942043,0,0
GAIL+TD3,191,5943,98,94,0,94,6.307015796400067,5.569775619451212,0,0
GAIL+TD3,191,5944,98,94,0,94,5.843876795141611,5.498193466092523,0,0
GAIL+TD3,191,5946,98,94,0,94,6.236544157903073,5.411032852733502,0,0
GAIL+TD3,191,5948,98,94,0,94,6.502724002614142,5.590427281252401,0,0
GAIL+TD3,191,5949,94,90,0,90,6.413480094606374,5.471933996538146,1,1.1111111111111112
GAIL+TD3,191,5950,98,94,0,94,6.578985181187319,5.25757401023096,0,0
GAIL+TD3,191,5954,98,94,0,94,6.669813496184477,5.715511739988679,0,0
GAIL+TD3,191,5956,98,94,0,94,6.5554706192405705,5.624465815652997,0,0
GAIL+TD3,191,5957,93,89,0,89,6.633887522741012,5.729457874861565,1,1.1235955056179776
